homology_cluster_id,candidate,known_defense,total_genes,homology_type
678,101,35,136,Expanded_Known_Family
983,83,52,135,Expanded_Known_Family
5578,57,60,117,Expanded_Known_Family
9383,88,17,105,Expanded_Known_Family
6655,89,15,104,Expanded_Known_Family
6032,59,10,69,Expanded_Known_Family
11956,28,40,68,Expanded_Known_Family
2010,43,21,64,Expanded_Known_Family
4977,51,11,62,Expanded_Known_Family
11895,27,33,60,Expanded_Known_Family
8017,27,31,58,Expanded_Known_Family
12471,18,39,57,Expanded_Known_Family
1631,39,18,57,Expanded_Known_Family
2099,45,11,56,Expanded_Known_Family
8768,39,15,54,Expanded_Known_Family
4135,49,4,53,Expanded_Known_Family
6003,40,8,48,Expanded_Known_Family
13550,37,10,47,Expanded_Known_Family
8227,32,15,47,Expanded_Known_Family
192,14,33,47,Expanded_Known_Family
1704,32,14,46,Expanded_Known_Family
4061,17,29,46,Expanded_Known_Family
7484,40,4,44,Expanded_Known_Family
5681,32,9,41,Expanded_Known_Family
1922,28,13,41,Expanded_Known_Family
8029,28,13,41,Expanded_Known_Family
2553,28,12,40,Expanded_Known_Family
3150,29,11,40,Expanded_Known_Family
7426,26,12,38,Expanded_Known_Family
2109,25,13,38,Expanded_Known_Family
5006,29,9,38,Expanded_Known_Family
2377,17,20,37,Expanded_Known_Family
3447,36,0,36,Potential_Novel_Family
8709,24,11,35,Expanded_Known_Family
13850,25,9,34,Expanded_Known_Family
6117,25,8,33,Expanded_Known_Family
5393,23,10,33,Expanded_Known_Family
12696,12,21,33,Expanded_Known_Family
954,18,14,32,Expanded_Known_Family
12762,11,20,31,Expanded_Known_Family
10036,17,14,31,Expanded_Known_Family
1074,19,12,31,Expanded_Known_Family
8852,18,12,30,Expanded_Known_Family
6564,16,14,30,Expanded_Known_Family
1613,23,7,30,Expanded_Known_Family
645,19,11,30,Expanded_Known_Family
477,28,2,30,Expanded_Known_Family
7486,20,10,30,Expanded_Known_Family
1506,23,6,29,Expanded_Known_Family
5375,21,8,29,Expanded_Known_Family
2408,13,16,29,Expanded_Known_Family
2525,18,11,29,Expanded_Known_Family
9410,11,17,28,Expanded_Known_Family
10704,24,4,28,Expanded_Known_Family
13789,25,3,28,Expanded_Known_Family
1471,15,13,28,Expanded_Known_Family
4185,26,1,27,Expanded_Known_Family
12244,19,8,27,Expanded_Known_Family
548,20,7,27,Expanded_Known_Family
6874,13,14,27,Expanded_Known_Family
12914,24,2,26,Expanded_Known_Family
1012,15,11,26,Expanded_Known_Family
6193,25,0,25,Potential_Novel_Family
6902,0,25,25,Known_Family_Only
13158,14,11,25,Expanded_Known_Family
1124,15,10,25,Expanded_Known_Family
4704,16,9,25,Expanded_Known_Family
5284,25,0,25,Potential_Novel_Family
12115,19,5,24,Expanded_Known_Family
199,8,16,24,Expanded_Known_Family
6942,18,6,24,Expanded_Known_Family
416,14,10,24,Expanded_Known_Family
1468,13,11,24,Expanded_Known_Family
5907,24,0,24,Potential_Novel_Family
12846,17,7,24,Expanded_Known_Family
4371,13,11,24,Expanded_Known_Family
2072,24,0,24,Potential_Novel_Family
6505,22,1,23,Expanded_Known_Family
5825,5,18,23,Expanded_Known_Family
6336,9,14,23,Expanded_Known_Family
4286,19,4,23,Expanded_Known_Family
2926,15,8,23,Expanded_Known_Family
7719,16,7,23,Expanded_Known_Family
3488,15,8,23,Expanded_Known_Family
2288,15,7,22,Expanded_Known_Family
13030,13,9,22,Expanded_Known_Family
5048,22,0,22,Potential_Novel_Family
3888,20,2,22,Expanded_Known_Family
871,3,19,22,Expanded_Known_Family
1454,4,18,22,Expanded_Known_Family
11227,14,8,22,Expanded_Known_Family
3491,4,18,22,Expanded_Known_Family
5209,21,1,22,Expanded_Known_Family
5294,16,6,22,Expanded_Known_Family
13722,19,3,22,Expanded_Known_Family
5019,3,19,22,Expanded_Known_Family
12529,7,15,22,Expanded_Known_Family
6229,11,11,22,Expanded_Known_Family
799,16,6,22,Expanded_Known_Family
12611,20,1,21,Expanded_Known_Family
9006,13,8,21,Expanded_Known_Family
4553,9,12,21,Expanded_Known_Family
2075,14,7,21,Expanded_Known_Family
1048,13,8,21,Expanded_Known_Family
7277,15,6,21,Expanded_Known_Family
12207,20,1,21,Expanded_Known_Family
2153,20,1,21,Expanded_Known_Family
8085,17,4,21,Expanded_Known_Family
13344,21,0,21,Potential_Novel_Family
3433,14,6,20,Expanded_Known_Family
1723,18,2,20,Expanded_Known_Family
10655,19,1,20,Expanded_Known_Family
9476,17,3,20,Expanded_Known_Family
8150,17,3,20,Expanded_Known_Family
7765,16,4,20,Expanded_Known_Family
230,9,11,20,Expanded_Known_Family
3023,20,0,20,Potential_Novel_Family
1299,6,14,20,Expanded_Known_Family
5026,12,7,19,Expanded_Known_Family
2724,9,10,19,Expanded_Known_Family
6400,16,3,19,Expanded_Known_Family
12806,11,8,19,Expanded_Known_Family
2223,19,0,19,Potential_Novel_Family
6301,13,6,19,Expanded_Known_Family
13943,17,2,19,Expanded_Known_Family
5491,12,7,19,Expanded_Known_Family
8557,11,8,19,Expanded_Known_Family
3680,15,4,19,Expanded_Known_Family
7733,17,2,19,Expanded_Known_Family
2348,15,4,19,Expanded_Known_Family
2407,9,10,19,Expanded_Known_Family
10041,12,7,19,Expanded_Known_Family
10376,13,6,19,Expanded_Known_Family
6750,13,6,19,Expanded_Known_Family
7529,11,8,19,Expanded_Known_Family
8993,7,12,19,Expanded_Known_Family
318,6,13,19,Expanded_Known_Family
13825,13,6,19,Expanded_Known_Family
10449,14,5,19,Expanded_Known_Family
4801,14,5,19,Expanded_Known_Family
7671,9,9,18,Expanded_Known_Family
