homology_cluster_id,candidate,known_defense,total_genes,homology_type
5392,57,24,81,Expanded_Known_Family
1107,56,18,74,Expanded_Known_Family
11507,57,10,67,Expanded_Known_Family
2320,32,26,58,Expanded_Known_Family
11221,33,21,54,Expanded_Known_Family
5040,41,10,51,Expanded_Known_Family
10482,21,27,48,Expanded_Known_Family
1035,30,16,46,Expanded_Known_Family
11908,28,14,42,Expanded_Known_Family
4120,27,12,39,Expanded_Known_Family
5974,12,24,36,Expanded_Known_Family
6558,14,20,34,Expanded_Known_Family
1937,22,12,34,Expanded_Known_Family
4770,24,9,33,Expanded_Known_Family
7939,23,10,33,Expanded_Known_Family
10608,12,20,32,Expanded_Known_Family
184,17,15,32,Expanded_Known_Family
11122,7,23,30,Expanded_Known_Family
5555,20,10,30,Expanded_Known_Family
12566,30,0,30,Potential_Novel_Family
6238,19,10,29,Expanded_Known_Family
12196,25,4,29,Expanded_Known_Family
8131,18,11,29,Expanded_Known_Family
8448,20,9,29,Expanded_Known_Family
3368,7,22,29,Expanded_Known_Family
3462,17,11,28,Expanded_Known_Family
3993,22,6,28,Expanded_Known_Family
10766,11,17,28,Expanded_Known_Family
1361,20,7,27,Expanded_Known_Family
1880,24,2,26,Expanded_Known_Family
8374,24,2,26,Expanded_Known_Family
539,19,7,26,Expanded_Known_Family
6200,20,6,26,Expanded_Known_Family
740,16,10,26,Expanded_Known_Family
2340,21,4,25,Expanded_Known_Family
5342,16,8,24,Expanded_Known_Family
6546,10,14,24,Expanded_Known_Family
674,5,19,24,Expanded_Known_Family
2878,18,6,24,Expanded_Known_Family
1532,15,8,23,Expanded_Known_Family
9014,21,2,23,Expanded_Known_Family
2430,18,5,23,Expanded_Known_Family
6244,14,9,23,Expanded_Known_Family
358,9,14,23,Expanded_Known_Family
3213,9,14,23,Expanded_Known_Family
1470,13,10,23,Expanded_Known_Family
1714,17,5,22,Expanded_Known_Family
3898,12,10,22,Expanded_Known_Family
5812,9,13,22,Expanded_Known_Family
11427,21,1,22,Expanded_Known_Family
8781,10,11,21,Expanded_Known_Family
11746,18,3,21,Expanded_Known_Family
11795,13,8,21,Expanded_Known_Family
4798,13,8,21,Expanded_Known_Family
1918,17,4,21,Expanded_Known_Family
4642,17,3,20,Expanded_Known_Family
12267,14,6,20,Expanded_Known_Family
4311,18,2,20,Expanded_Known_Family
7225,15,5,20,Expanded_Known_Family
11303,12,8,20,Expanded_Known_Family
5026,3,17,20,Expanded_Known_Family
11442,13,7,20,Expanded_Known_Family
8598,13,6,19,Expanded_Known_Family
7526,13,6,19,Expanded_Known_Family
7775,14,5,19,Expanded_Known_Family
11320,12,7,19,Expanded_Known_Family
1131,14,5,19,Expanded_Known_Family
7456,3,16,19,Expanded_Known_Family
1787,16,3,19,Expanded_Known_Family
7057,12,7,19,Expanded_Known_Family
11882,14,4,18,Expanded_Known_Family
12019,16,2,18,Expanded_Known_Family
11013,15,3,18,Expanded_Known_Family
6538,11,7,18,Expanded_Known_Family
3783,10,8,18,Expanded_Known_Family
1562,13,5,18,Expanded_Known_Family
5398,17,1,18,Expanded_Known_Family
946,12,6,18,Expanded_Known_Family
8961,6,12,18,Expanded_Known_Family
11067,0,18,18,Known_Family_Only
11066,9,9,18,Expanded_Known_Family
7915,17,1,18,Expanded_Known_Family
5909,13,5,18,Expanded_Known_Family
8159,2,15,17,Expanded_Known_Family
3720,13,4,17,Expanded_Known_Family
2424,3,14,17,Expanded_Known_Family
11357,16,1,17,Expanded_Known_Family
7318,8,9,17,Expanded_Known_Family
5444,13,4,17,Expanded_Known_Family
5923,14,3,17,Expanded_Known_Family
8000,7,10,17,Expanded_Known_Family
8308,15,2,17,Expanded_Known_Family
2400,12,4,16,Expanded_Known_Family
6438,11,5,16,Expanded_Known_Family
1823,5,11,16,Expanded_Known_Family
1036,9,7,16,Expanded_Known_Family
448,10,6,16,Expanded_Known_Family
4670,11,5,16,Expanded_Known_Family
139,10,6,16,Expanded_Known_Family
5494,13,3,16,Expanded_Known_Family
253,13,3,16,Expanded_Known_Family
938,11,5,16,Expanded_Known_Family
9663,6,10,16,Expanded_Known_Family
3482,11,4,15,Expanded_Known_Family
531,8,7,15,Expanded_Known_Family
2237,11,4,15,Expanded_Known_Family
635,13,2,15,Expanded_Known_Family
685,6,9,15,Expanded_Known_Family
1417,5,10,15,Expanded_Known_Family
11873,9,6,15,Expanded_Known_Family
5862,10,5,15,Expanded_Known_Family
12505,14,1,15,Expanded_Known_Family
7694,13,2,15,Expanded_Known_Family
11938,11,4,15,Expanded_Known_Family
232,1,14,15,Expanded_Known_Family
133,7,8,15,Expanded_Known_Family
11853,12,3,15,Expanded_Known_Family
631,8,7,15,Expanded_Known_Family
11653,12,2,14,Expanded_Known_Family
316,6,8,14,Expanded_Known_Family
5613,10,4,14,Expanded_Known_Family
1375,8,6,14,Expanded_Known_Family
6352,11,3,14,Expanded_Known_Family
6433,11,3,14,Expanded_Known_Family
10998,4,10,14,Expanded_Known_Family
6196,12,2,14,Expanded_Known_Family
1358,14,0,14,Potential_Novel_Family
11587,7,7,14,Expanded_Known_Family
8018,10,4,14,Expanded_Known_Family
10575,9,5,14,Expanded_Known_Family
3314,9,5,14,Expanded_Known_Family
2465,14,0,14,Potential_Novel_Family
1985,8,5,13,Expanded_Known_Family
10802,5,8,13,Expanded_Known_Family
10246,6,7,13,Expanded_Known_Family
660,7,6,13,Expanded_Known_Family
11618,9,4,13,Expanded_Known_Family
6014,5,8,13,Expanded_Known_Family
2658,12,1,13,Expanded_Known_Family
2493,11,2,13,Expanded_Known_Family
5043,6,7,13,Expanded_Known_Family
380,9,4,13,Expanded_Known_Family
7258,10,3,13,Expanded_Known_Family
4970,9,4,13,Expanded_Known_Family
9048,12,1,13,Expanded_Known_Family
5346,7,6,13,Expanded_Known_Family
489,4,9,13,Expanded_Known_Family
9933,9,4,13,Expanded_Known_Family
11804,10,3,13,Expanded_Known_Family
3551,7,6,13,Expanded_Known_Family
1262,10,3,13,Expanded_Known_Family
4031,9,4,13,Expanded_Known_Family
711,6,7,13,Expanded_Known_Family
6619,8,5,13,Expanded_Known_Family
6292,12,1,13,Expanded_Known_Family
789,8,4,12,Expanded_Known_Family
5743,7,5,12,Expanded_Known_Family
7630,6,6,12,Expanded_Known_Family
3959,7,5,12,Expanded_Known_Family
2792,8,4,12,Expanded_Known_Family
1383,10,2,12,Expanded_Known_Family
11844,10,2,12,Expanded_Known_Family
1384,11,1,12,Expanded_Known_Family
3717,8,4,12,Expanded_Known_Family
6310,11,1,12,Expanded_Known_Family
3571,8,4,12,Expanded_Known_Family
2708,12,0,12,Potential_Novel_Family
1511,7,5,12,Expanded_Known_Family
8277,12,0,12,Potential_Novel_Family
955,9,3,12,Expanded_Known_Family
9895,10,2,12,Expanded_Known_Family
2700,4,8,12,Expanded_Known_Family
2127,7,5,12,Expanded_Known_Family
7321,9,3,12,Expanded_Known_Family
3823,12,0,12,Potential_Novel_Family
11679,10,2,12,Expanded_Known_Family
2214,8,4,12,Expanded_Known_Family
8168,11,1,12,Expanded_Known_Family
5608,5,7,12,Expanded_Known_Family
7308,12,0,12,Potential_Novel_Family
5192,9,3,12,Expanded_Known_Family
4197,7,5,12,Expanded_Known_Family
10806,5,7,12,Expanded_Known_Family
9467,10,2,12,Expanded_Known_Family
8054,8,4,12,Expanded_Known_Family
2950,10,2,12,Expanded_Known_Family
10544,10,2,12,Expanded_Known_Family
11936,4,7,11,Expanded_Known_Family
541,5,6,11,Expanded_Known_Family
829,7,4,11,Expanded_Known_Family
8050,4,7,11,Expanded_Known_Family
8092,6,5,11,Expanded_Known_Family
11700,8,3,11,Expanded_Known_Family
11815,7,4,11,Expanded_Known_Family
4227,7,4,11,Expanded_Known_Family
1238,10,1,11,Expanded_Known_Family
6012,8,3,11,Expanded_Known_Family
895,6,5,11,Expanded_Known_Family
2561,9,2,11,Expanded_Known_Family
3105,6,5,11,Expanded_Known_Family
1288,9,2,11,Expanded_Known_Family
10077,3,8,11,Expanded_Known_Family
2018,10,1,11,Expanded_Known_Family
11174,8,3,11,Expanded_Known_Family
160,10,1,11,Expanded_Known_Family
473,10,1,11,Expanded_Known_Family
2531,6,5,11,Expanded_Known_Family
10574,8,3,11,Expanded_Known_Family
8408,4,7,11,Expanded_Known_Family
2339,10,1,11,Expanded_Known_Family
6260,9,2,11,Expanded_Known_Family
8213,8,3,11,Expanded_Known_Family
1603,9,2,11,Expanded_Known_Family
8385,5,6,11,Expanded_Known_Family
