Source,Target,Weight,Source_Type,Target_Type
3965,9302,1,Known_Family_Only,Known_Family_Only
3965,11169,1,Known_Family_Only,Potential_Novel_Family
3965,9315,1,Known_Family_Only,Potential_Novel_Family
9302,11169,1,Known_Family_Only,Potential_Novel_Family
4299,6146,1,Known_Family_Only,Potential_Novel_Family
3022,7266,1,Potential_Novel_Family,Expanded_Known_Family
7266,1061,1,Expanded_Known_Family,Potential_Novel_Family
7266,3487,1,Expanded_Known_Family,Potential_Novel_Family
7266,9925,2,Expanded_Known_Family,Known_Family_Only
7266,14326,1,Expanded_Known_Family,Known_Family_Only
5186,9583,10,Expanded_Known_Family,Expanded_Known_Family
5186,7675,1,Expanded_Known_Family,Potential_Novel_Family
5186,4138,1,Expanded_Known_Family,Potential_Novel_Family
5186,868,2,Expanded_Known_Family,Potential_Novel_Family
5186,13455,1,Expanded_Known_Family,Potential_Novel_Family
5186,5235,1,Expanded_Known_Family,Potential_Novel_Family
5186,5632,1,Expanded_Known_Family,Potential_Novel_Family
5186,7637,1,Expanded_Known_Family,Expanded_Known_Family
5186,1070,1,Expanded_Known_Family,Potential_Novel_Family
9583,12313,1,Expanded_Known_Family,Potential_Novel_Family
9583,7675,1,Expanded_Known_Family,Potential_Novel_Family
9583,868,2,Expanded_Known_Family,Potential_Novel_Family
9583,13455,1,Expanded_Known_Family,Potential_Novel_Family
9583,10705,1,Expanded_Known_Family,Potential_Novel_Family
9583,5632,1,Expanded_Known_Family,Potential_Novel_Family
9583,7637,1,Expanded_Known_Family,Expanded_Known_Family
9583,1070,1,Expanded_Known_Family,Potential_Novel_Family
8651,13788,1,Known_Family_Only,Potential_Novel_Family
8194,12546,1,Potential_Novel_Family,Known_Family_Only
4002,6617,1,Known_Family_Only,Expanded_Known_Family
6617,4461,1,Expanded_Known_Family,Potential_Novel_Family
6617,4265,2,Expanded_Known_Family,Expanded_Known_Family
6617,12309,1,Expanded_Known_Family,Potential_Novel_Family
1711,5863,2,Expanded_Known_Family,Expanded_Known_Family
2790,6503,2,Potential_Novel_Family,Expanded_Known_Family
2790,4062,1,Potential_Novel_Family,Potential_Novel_Family
398,6079,1,Expanded_Known_Family,Expanded_Known_Family
398,983,3,Expanded_Known_Family,Expanded_Known_Family
398,4009,1,Expanded_Known_Family,Potential_Novel_Family
398,7938,2,Expanded_Known_Family,Potential_Novel_Family
6079,2075,4,Expanded_Known_Family,Expanded_Known_Family
582,10309,4,Potential_Novel_Family,Expanded_Known_Family
582,3046,2,Potential_Novel_Family,Expanded_Known_Family
10309,3046,4,Expanded_Known_Family,Expanded_Known_Family
4834,11170,1,Expanded_Known_Family,Potential_Novel_Family
4834,7539,1,Expanded_Known_Family,Potential_Novel_Family
6655,8768,47,Expanded_Known_Family,Expanded_Known_Family
6655,8931,17,Expanded_Known_Family,Expanded_Known_Family
6655,9864,2,Expanded_Known_Family,Expanded_Known_Family
6655,9798,4,Expanded_Known_Family,Expanded_Known_Family
6655,9526,1,Expanded_Known_Family,Potential_Novel_Family
6655,9527,1,Expanded_Known_Family,Potential_Novel_Family
6655,9530,7,Expanded_Known_Family,Expanded_Known_Family
6655,12096,1,Expanded_Known_Family,Potential_Novel_Family
6655,2553,1,Expanded_Known_Family,Expanded_Known_Family
6655,9089,1,Expanded_Known_Family,Known_Family_Only
6655,9439,2,Expanded_Known_Family,Expanded_Known_Family
6655,9311,1,Expanded_Known_Family,Known_Family_Only
6655,7859,1,Expanded_Known_Family,Potential_Novel_Family
6655,8937,2,Expanded_Known_Family,Expanded_Known_Family
6655,9586,7,Expanded_Known_Family,Expanded_Known_Family
6655,9626,7,Expanded_Known_Family,Expanded_Known_Family
6655,234,1,Expanded_Known_Family,Expanded_Known_Family
6655,2850,1,Expanded_Known_Family,Expanded_Known_Family
6655,9895,4,Expanded_Known_Family,Expanded_Known_Family
8768,12129,1,Expanded_Known_Family,Potential_Novel_Family
8768,2493,1,Expanded_Known_Family,Potential_Novel_Family
8768,7054,4,Expanded_Known_Family,Expanded_Known_Family
8768,2553,1,Expanded_Known_Family,Expanded_Known_Family
8768,6147,1,Expanded_Known_Family,Expanded_Known_Family
8768,8029,1,Expanded_Known_Family,Expanded_Known_Family
8565,11508,2,Expanded_Known_Family,Expanded_Known_Family
8565,11761,1,Expanded_Known_Family,Known_Family_Only
11508,11761,1,Expanded_Known_Family,Known_Family_Only
4248,5739,1,Expanded_Known_Family,Known_Family_Only
4248,8028,1,Expanded_Known_Family,Known_Family_Only
4248,10405,1,Expanded_Known_Family,Known_Family_Only
4248,433,1,Expanded_Known_Family,Expanded_Known_Family
4248,2138,1,Expanded_Known_Family,Expanded_Known_Family
4248,1289,1,Expanded_Known_Family,Expanded_Known_Family
5739,8028,1,Known_Family_Only,Known_Family_Only
5739,10405,1,Known_Family_Only,Known_Family_Only
8028,10405,1,Known_Family_Only,Known_Family_Only
8478,8876,1,Potential_Novel_Family,Potential_Novel_Family
3376,11651,1,Expanded_Known_Family,Expanded_Known_Family
3376,14191,5,Expanded_Known_Family,Potential_Novel_Family
3376,5412,1,Expanded_Known_Family,Known_Family_Only
3376,4442,1,Expanded_Known_Family,Expanded_Known_Family
3376,10036,1,Expanded_Known_Family,Expanded_Known_Family
11651,12497,1,Expanded_Known_Family,Potential_Novel_Family
4704,9303,1,Expanded_Known_Family,Potential_Novel_Family
4704,7966,14,Expanded_Known_Family,Expanded_Known_Family
4704,7924,6,Expanded_Known_Family,Expanded_Known_Family
4704,9360,1,Expanded_Known_Family,Potential_Novel_Family
4704,3868,1,Expanded_Known_Family,Potential_Novel_Family
4704,8164,1,Expanded_Known_Family,Known_Family_Only
4704,8104,1,Expanded_Known_Family,Expanded_Known_Family
8799,13720,1,Potential_Novel_Family,Potential_Novel_Family
3940,10149,2,Potential_Novel_Family,Potential_Novel_Family
2253,6891,1,Expanded_Known_Family,Potential_Novel_Family
2253,4027,2,Expanded_Known_Family,Potential_Novel_Family
2253,4429,2,Expanded_Known_Family,Known_Family_Only
2253,236,1,Expanded_Known_Family,Potential_Novel_Family
2253,3420,1,Expanded_Known_Family,Potential_Novel_Family
2253,7739,1,Expanded_Known_Family,Potential_Novel_Family
2253,10834,1,Expanded_Known_Family,Expanded_Known_Family
2253,672,1,Expanded_Known_Family,Known_Family_Only
2253,11394,1,Expanded_Known_Family,Potential_Novel_Family
2253,4189,1,Expanded_Known_Family,Known_Family_Only
2253,5072,1,Expanded_Known_Family,Potential_Novel_Family
2253,5263,2,Expanded_Known_Family,Known_Family_Only
2253,7391,1,Expanded_Known_Family,Potential_Novel_Family
2253,8752,1,Expanded_Known_Family,Expanded_Known_Family
2253,9779,1,Expanded_Known_Family,Potential_Novel_Family
2253,5566,1,Expanded_Known_Family,Potential_Novel_Family
2253,2799,1,Expanded_Known_Family,Expanded_Known_Family
2253,7855,1,Expanded_Known_Family,Expanded_Known_Family
2253,7907,1,Expanded_Known_Family,Potential_Novel_Family
2253,10845,1,Expanded_Known_Family,Potential_Novel_Family
5294,8640,8,Expanded_Known_Family,Expanded_Known_Family
5294,8236,13,Expanded_Known_Family,Expanded_Known_Family
5294,8841,1,Expanded_Known_Family,Potential_Novel_Family
9756,12855,1,Potential_Novel_Family,Expanded_Known_Family
12855,1667,1,Expanded_Known_Family,Potential_Novel_Family
12855,12762,8,Expanded_Known_Family,Expanded_Known_Family
12855,11800,1,Expanded_Known_Family,Potential_Novel_Family
12855,2352,1,Expanded_Known_Family,Expanded_Known_Family
12855,12696,1,Expanded_Known_Family,Expanded_Known_Family
12855,12586,1,Expanded_Known_Family,Expanded_Known_Family
12855,14222,1,Expanded_Known_Family,Potential_Novel_Family
12629,12696,9,Expanded_Known_Family,Expanded_Known_Family
12629,12762,2,Expanded_Known_Family,Expanded_Known_Family
12629,7097,1,Expanded_Known_Family,Expanded_Known_Family
12696,12530,3,Expanded_Known_Family,Expanded_Known_Family
12696,13723,1,Expanded_Known_Family,Potential_Novel_Family
12696,13511,2,Expanded_Known_Family,Expanded_Known_Family
12696,13791,3,Expanded_Known_Family,Potential_Novel_Family
12696,13547,5,Expanded_Known_Family,Expanded_Known_Family
12696,13776,1,Expanded_Known_Family,Potential_Novel_Family
12696,12844,1,Expanded_Known_Family,Expanded_Known_Family
12696,13336,2,Expanded_Known_Family,Expanded_Known_Family
12696,2553,1,Expanded_Known_Family,Expanded_Known_Family
12696,4832,1,Expanded_Known_Family,Known_Family_Only
12696,13836,1,Expanded_Known_Family,Known_Family_Only
12696,12858,1,Expanded_Known_Family,Potential_Novel_Family
12696,13742,1,Expanded_Known_Family,Potential_Novel_Family
12696,7097,1,Expanded_Known_Family,Expanded_Known_Family
12696,13034,2,Expanded_Known_Family,Expanded_Known_Family
13296,13818,3,Expanded_Known_Family,Expanded_Known_Family
13296,13661,1,Expanded_Known_Family,Expanded_Known_Family
13296,1898,1,Expanded_Known_Family,Potential_Novel_Family
13296,13017,4,Expanded_Known_Family,Potential_Novel_Family
13296,13432,1,Expanded_Known_Family,Potential_Novel_Family
13818,2055,9,Expanded_Known_Family,Expanded_Known_Family
13818,1598,1,Expanded_Known_Family,Expanded_Known_Family
13818,13506,1,Expanded_Known_Family,Potential_Novel_Family
13818,5487,1,Expanded_Known_Family,Potential_Novel_Family
13818,648,1,Expanded_Known_Family,Expanded_Known_Family
6565,12677,2,Known_Family_Only,Potential_Novel_Family
6565,9253,1,Known_Family_Only,Potential_Novel_Family
