composition,family_count,system_frequency,has_novel_family,novel_families
"(5578, 9383)",2,95,False,[]
"(678, 2099)",2,55,False,[]
"(6655, 8768)",2,46,False,[]
"(4135, 8017)",2,44,False,[]
"(678, 1704)",2,43,False,[]
"(3447, 8227)",2,36,True,[3447]
"(4977, 11956)",2,35,False,[]
"(12471, 13550)",2,29,False,[]
"(5681, 8029)",2,28,False,[]
"(1506, 6117)",2,28,False,[]
"(6564, 10704)",2,28,False,[]
"(1631, 4185)",2,27,False,[]
"(6003, 7486)",2,27,False,[]
"(5284, 6902)",2,25,True,[5284]
"(1074, 1613)",2,24,False,[]
"(2072, 4371)",2,24,True,[2072]
"(7484, 12115)",2,24,False,[]
"(11895, 12914)",2,24,False,[]
"(12846, 13722)",2,22,False,[]
"(1454, 5209)",2,22,False,[]
"(5019, 5048)",2,22,True,[5048]
"(12611, 13789)",2,21,False,[]
"(416, 548)",2,20,False,[]
"(477, 2153)",2,20,False,[]
"(11895, 13344)",2,20,True,[13344]
"(3023, 8709)",2,20,True,[3023]
"(5006, 5375)",2,20,False,[]
"(6874, 6942)",2,20,False,[]
"(6336, 10655)",2,20,False,[]
"(4553, 6505)",2,19,False,[]
"(9006, 10449)",2,19,False,[]
"(5393, 12244)",2,19,False,[]
"(2223, 6301)",2,19,True,[2223]
"(5825, 8150)",2,19,False,[]
"(7529, 7793)",2,18,False,[]
"(2724, 5358)",2,18,False,[]
"(6750, 7606)",2,18,False,[]
"(4801, 10362)",2,18,False,[]
"(6700, 7671)",2,18,False,[]
"(585, 2558, 3491)",3,17,True,[2558]
"(3888, 10338)",2,17,False,[]
"(13228, 13850)",2,17,True,[13228]
"(678, 1868)",2,17,True,[1868]
"(2926, 7426)",2,17,False,[]
"(6032, 10278)",2,16,False,[]
"(6655, 8931)",2,16,False,[]
"(3150, 4597)",2,16,False,[]
"(1315, 7733)",2,15,False,[]
"(6003, 7458)",2,15,False,[]
"(983, 3316)",2,14,False,[]
"(12471, 13943)",2,14,False,[]
"(8486, 11227)",2,14,False,[]
"(4977, 8993, 11956)",3,14,False,[]
"(4704, 7966)",2,14,False,[]
"(5294, 8236)",2,13,False,[]
"(7719, 9542)",2,13,False,[]
"(6478, 9622)",2,12,True,[6478]
"(4931, 7475)",2,12,False,[]
"(896, 12412)",2,12,True,[896]
"(2288, 4470)",2,12,False,[]
"(262, 450, 3691)",3,12,True,[3691]
"(11895, 13612)",2,12,True,[13612]
"(6193, 9173)",2,12,True,[6193]
"(3116, 8159)",2,12,False,[]
"(6605, 10605)",2,11,False,[]
"(8838, 10261)",2,11,False,[]
"(7040, 7426)",2,11,False,[]
"(5491, 9971)",2,11,False,[]
"(5260, 6229)",2,11,False,[]
"(1429, 1703)",2,11,True,[1703]
"(6413, 8085)",2,11,False,[]
"(503, 1073)",2,11,False,[]
"(12942, 13858)",2,11,True,[12942]
"(1490, 4025)",2,10,False,[]
"(5337, 13513)",2,10,False,[]
"(3731, 11984)",2,10,True,[11984]
"(11693, 13258)",2,10,False,[]
"(7223, 8204)",2,10,False,[]
"(7914, 9988)",2,10,False,[]
"(1440, 2606)",2,10,True,[2606]
"(7484, 8825)",2,10,False,[]
"(4031, 9529)",2,10,True,[4031]
"(12535, 13158)",2,10,False,[]
"(3044, 9757)",2,10,True,[9757]
"(5017, 8882)",2,10,False,[]
"(6193, 9979)",2,10,True,[6193]
"(2213, 5578)",2,10,False,[]
"(12810, 13852)",2,10,True,[12810]
"(4208, 9871)",2,10,False,[]
"(5521, 7450)",2,10,False,[]
"(2319, 2407)",2,9,True,[2319]
"(12881, 13825)",2,9,False,[]
"(671, 6191)",2,9,True,[671]
"(2055, 13818)",2,9,False,[]
"(1046, 4326)",2,9,False,[]
"(12353, 13588)",2,9,True,[13588]
"(2010, 2604)",2,9,False,[]
"(8986, 13876)",2,9,True,[8986]
"(385, 1723)",2,9,False,[]
"(2996, 11314)",2,9,False,[]
"(2570, 7958)",2,9,True,[7958]
"(2524, 7796)",2,9,False,[]
"(3261, 7762)",2,9,False,[]
"(7857, 13418)",2,8,True,[7857]
"(2010, 9520)",2,8,False,[]
"(473, 732)",2,8,False,[]
"(5473, 9722)",2,8,False,[]
"(5681, 8418)",2,8,False,[]
"(199, 8693, 9410)",3,8,False,[]
"(8227, 11227)",2,8,False,[]
"(1850, 7309)",2,8,False,[]
"(6032, 10202)",2,8,False,[]
"(171, 10561)",2,8,False,[]
"(2672, 7379)",2,8,False,[]
"(5780, 8378)",2,8,True,[8378]
"(5294, 8640)",2,8,False,[]
"(12629, 12696)",2,8,False,[]
"(6151, 11388)",2,8,False,[]
"(10041, 11242)",2,8,False,[]
"(8078, 9578)",2,8,True,[9578]
"(2948, 9683)",2,8,True,[2948]
"(5073, 11956)",2,8,False,[]
"(5393, 12806)",2,8,False,[]
"(2274, 9476)",2,8,False,[]
"(2220, 7965)",2,8,False,[]
"(12762, 12855)",2,8,False,[]
"(8852, 13911)",2,8,True,[13911]
"(4184, 6873, 6945)",3,8,False,[]
"(212, 229)",2,8,False,[]
"(11021, 12960)",2,8,True,[12960]
"(891, 3923)",2,7,True,[3923]
"(5026, 7503)",2,7,False,[]
"(7650, 7712)",2,7,True,[7712]
"(6655, 9586)",2,7,False,[]
"(1723, 2010)",2,7,False,[]
"(6655, 9626)",2,7,False,[]
"(2486, 8054)",2,7,True,[8054]
"(4979, 6250)",2,7,False,[]
"(3063, 12380)",2,7,False,[]
"(1124, 9312)",2,7,False,[]
"(645, 4097)",2,7,False,[]
"(6400, 7921)",2,7,False,[]
"(12439, 13556)",2,7,False,[]
"(3753, 12911)",2,7,True,[3753]
"(9552, 10195)",2,7,True,[9552]
"(6066, 12806)",2,7,False,[]
"(1455, 5389)",2,7,False,[]
"(214, 5784)",2,7,False,[]
"(2209, 4186)",2,7,True,[4186]
"(5637, 7199)",2,7,True,[5637]
"(6400, 7800)",2,7,False,[]
"(12763, 13030)",2,7,False,[]
"(983, 3405)",2,7,False,[]
"(7673, 9907)",2,7,True,[7673]
"(12581, 13515)",2,7,False,[]
"(2377, 3269)",2,7,False,[]
"(5013, 7496)",2,7,False,[]
"(2806, 12583)",2,7,True,[2806]
"(3171, 11890)",2,7,False,[]
"(1817, 3886)",2,7,True,[3886]
"(11163, 13030)",2,7,False,[]
"(954, 4061)",2,7,False,[]
"(2010, 4286)",2,7,False,[]
"(828, 2027)",2,7,False,[]
"(6655, 9530)",2,7,False,[]
"(4389, 9223)",2,7,False,[]
"(4, 3303)",2,7,True,[3303]
"(2458, 6293)",2,6,True,[2458]
"(6727, 9343)",2,6,False,[]
"(3433, 8061)",2,6,False,[]
"(2348, 4549)",2,6,False,[]
"(306, 2654, 3825, 4061, 9316)",5,6,False,[]
"(573, 2041)",2,6,True,[2041]
"(651, 5901)",2,6,False,[]
"(4973, 6784)",2,6,True,[6784]
"(5056, 10376)",2,6,False,[]
"(3007, 5367)",2,6,False,[]
"(472, 613)",2,6,True,[613]
"(6393, 6912)",2,6,False,[]
"(1772, 5026)",2,6,False,[]
"(5979, 7935)",2,6,False,[]
"(6677, 8069)",2,6,False,[]
"(879, 2694)",2,6,False,[]
"(2618, 6463)",2,6,True,[6463]
"(8085, 13973)",2,6,False,[]
"(5046, 6659)",2,6,False,[]
"(199, 7561, 8693, 9410)",4,6,False,[]
"(4008, 10164)",2,6,False,[]
"(277, 1818, 2683, 4930, 7171, 11118, 11179, 11780)",8,6,False,[]
"(3974, 7336)",2,6,False,[]
"(4286, 9829)",2,6,False,[]
"(8812, 11542)",2,6,True,[11542]
"(8548, 8642)",2,6,False,[]
"(2635, 13822)",2,6,False,[]
"(197, 402)",2,6,False,[]
"(11849, 12207)",2,6,False,[]
"(2109, 4400)",2,6,False,[]
"(6999, 9088)",2,6,True,[9088]
"(13263, 13287)",2,6,True,[13263]
"(3345, 9414)",2,6,False,[]
"(603, 7279)",2,6,False,[]
"(13369, 13880)",2,6,True,[13880]
"(1478, 3347)",2,6,True,[3347]
"(13332, 13792)",2,6,False,[]
"(1046, 4180)",2,6,False,[]
"(10535, 11453)",2,6,False,[]
"(12762, 13034)",2,6,False,[]
"(815, 1074, 1613)",3,6,False,[]
"(2010, 2944)",2,6,False,[]
"(299, 8909)",2,6,False,[]
"(5154, 7565)",2,6,True,[5154]
"(3805, 11400)",2,6,False,[]
"(1831, 10036)",2,6,True,[1831]
"(10491, 13852)",2,6,True,[10491]
"(1864, 2742)",2,6,False,[]
"(2837, 8180)",2,6,True,[2837]
"(239, 7130)",2,6,False,[]
"(4427, 12910)",2,6,False,[]
"(5907, 9180)",2,6,True,[5907]
"(4704, 7924)",2,6,False,[]
"(160, 1291, 1936, 8554)",4,6,True,[1936]
"(1322, 13971)",2,6,False,[]
"(12946, 13534)",2,6,True,[12946]
"(4463, 4802)",2,5,True,"[4463, 4802]"
"(259, 10077)",2,5,False,[]
"(13298, 13411)",2,5,True,[13411]
"(1471, 13081)",2,5,False,[]
"(3433, 7066, 11344)",3,5,False,[]
"(4127, 7476)",2,5,False,[]
"(564, 2744)",2,5,False,[]
"(5685, 7202)",2,5,False,[]
"(785, 4363)",2,5,False,[]
"(1464, 4763)",2,5,False,[]
"(12209, 13695)",2,5,False,[]
"(9058, 11962)",2,5,True,"[9058, 11962]"
"(3362, 13585)",2,5,True,"[3362, 13585]"
"(2097, 4258)",2,5,False,[]
"(2552, 8597)",2,5,True,[2552]
"(3583, 6705)",2,5,False,[]
"(1922, 2604)",2,5,False,[]
"(649, 2728)",2,5,False,[]
"(5301, 9803)",2,5,False,[]
"(4570, 9008)",2,5,False,[]
"(5053, 7169)",2,5,True,[7169]
"(7471, 9571)",2,5,True,[7471]
"(7155, 7226)",2,5,False,[]
"(6710, 9878)",2,5,True,[9878]
"(7625, 11276)",2,5,False,[]
"(1938, 3800)",2,5,False,[]
"(11730, 12652)",2,5,True,[12652]
"(1561, 1797)",2,5,True,[1561]
"(13252, 14181)",2,5,False,[]
"(2719, 3150)",2,5,False,[]
"(3073, 11316)",2,5,True,[3073]
"(9645, 13004)",2,5,False,[]
"(10518, 11384)",2,5,False,[]
"(2115, 3263)",2,5,False,[]
"(983, 3151)",2,5,False,[]
"(71, 6900)",2,5,False,[]
"(6439, 12647)",2,5,False,[]
"(1273, 1733)",2,5,True,[1273]
"(12762, 13409)",2,5,False,[]
"(5066, 12911)",2,5,True,[5066]
"(13730, 14001)",2,5,True,[14001]
"(3615, 9291)",2,5,False,[]
"(9318, 13825)",2,5,True,[9318]
"(9802, 11364)",2,5,False,[]
"(9983, 13780)",2,5,False,[]
"(2156, 3055, 5665)",3,5,True,[5665]
"(3376, 14191)",2,5,True,[14191]
"(589, 10275)",2,5,True,[10275]
"(3839, 9506)",2,5,False,[]
"(3434, 3870)",2,5,False,[]
"(12696, 13547)",2,5,False,[]
"(5342, 9332)",2,5,True,[9332]
"(6137, 7028)",2,5,False,[]
"(7501, 9984)",2,5,False,[]
"(3762, 11374)",2,5,False,[]
"(3411, 8437)",2,5,False,[]
"(983, 4061)",2,5,False,[]
"(210, 6337)",2,5,False,[]
"(11172, 13825)",2,5,False,[]
"(9382, 10497)",2,5,True,[10497]
"(4193, 10348)",2,5,False,[]
"(5318, 9411)",2,5,False,[]
"(7024, 9664)",2,5,True,[7024]
"(9452, 13490)",2,5,True,[9452]
"(12529, 13385)",2,5,True,[13385]
"(13234, 13298)",2,5,False,[]
"(10077, 10205)",2,5,False,[]
"(2707, 5524)",2,5,False,[]
"(5781, 13097)",2,5,False,[]
"(863, 2082)",2,5,False,[]
"(8089, 13442)",2,5,True,[8089]
"(13309, 13310)",2,5,True,[13309]
"(1288, 1529)",2,5,False,[]
"(185, 1880)",2,5,True,[1880]
"(10386, 10764)",2,5,False,[]
"(1151, 5851)",2,5,False,[]
"(2154, 4306)",2,5,True,[4306]
"(234, 990, 2850)",3,5,True,[990]
"(5124, 7416)",2,5,True,[5124]
"(1838, 11639)",2,5,False,[]
"(1634, 3952)",2,5,False,[]
"(793, 1095)",2,5,False,[]
"(2589, 5214)",2,5,True,[5214]
"(5346, 6679)",2,5,False,[]
"(6198, 9317)",2,5,True,[6198]
"(1297, 2232, 2808)",3,5,False,[]
"(5251, 9738)",2,5,False,[]
