Source,Target,Weight,Source_Type,Target_Type
4234,5899,2,Expanded_Known_Family,Known_Family_Only
4234,68,1,Expanded_Known_Family,Expanded_Known_Family
4234,526,3,Expanded_Known_Family,Potential_Novel_Family
4234,12653,1,Expanded_Known_Family,Known_Family_Only
5633,7903,1,Potential_Novel_Family,Potential_Novel_Family
119,5902,2,Expanded_Known_Family,Expanded_Known_Family
2041,9303,1,Known_Family_Only,Potential_Novel_Family
3837,6695,1,Expanded_Known_Family,Potential_Novel_Family
3837,12505,1,Expanded_Known_Family,Expanded_Known_Family
3837,7838,1,Expanded_Known_Family,Expanded_Known_Family
3837,40,1,Expanded_Known_Family,Expanded_Known_Family
3837,9039,1,Expanded_Known_Family,Expanded_Known_Family
3837,12525,1,Expanded_Known_Family,Potential_Novel_Family
3837,1456,1,Expanded_Known_Family,Potential_Novel_Family
3837,11658,1,Expanded_Known_Family,Known_Family_Only
3837,3583,1,Expanded_Known_Family,Potential_Novel_Family
7321,8633,7,Expanded_Known_Family,Expanded_Known_Family
7321,8779,3,Expanded_Known_Family,Potential_Novel_Family
7321,8908,2,Expanded_Known_Family,Expanded_Known_Family
793,1196,3,Expanded_Known_Family,Expanded_Known_Family
793,1001,1,Expanded_Known_Family,Expanded_Known_Family
793,2213,1,Expanded_Known_Family,Expanded_Known_Family
793,2688,1,Expanded_Known_Family,Potential_Novel_Family
1196,1001,1,Expanded_Known_Family,Expanded_Known_Family
1361,2561,5,Expanded_Known_Family,Expanded_Known_Family
1361,199,1,Expanded_Known_Family,Expanded_Known_Family
1361,1978,6,Expanded_Known_Family,Expanded_Known_Family
1361,1784,1,Expanded_Known_Family,Potential_Novel_Family
1361,4833,1,Expanded_Known_Family,Potential_Novel_Family
1361,5304,1,Expanded_Known_Family,Potential_Novel_Family
1361,8335,1,Expanded_Known_Family,Expanded_Known_Family
1361,1036,1,Expanded_Known_Family,Expanded_Known_Family
1361,1523,1,Expanded_Known_Family,Potential_Novel_Family
1361,6227,1,Expanded_Known_Family,Potential_Novel_Family
1361,12376,1,Expanded_Known_Family,Potential_Novel_Family
1361,7197,1,Expanded_Known_Family,Potential_Novel_Family
1361,3035,1,Expanded_Known_Family,Potential_Novel_Family
1361,4317,1,Expanded_Known_Family,Expanded_Known_Family
1361,11575,1,Expanded_Known_Family,Potential_Novel_Family
1361,11150,1,Expanded_Known_Family,Known_Family_Only
1361,4109,1,Expanded_Known_Family,Potential_Novel_Family
1361,2088,1,Expanded_Known_Family,Known_Family_Only
2561,2748,6,Expanded_Known_Family,Expanded_Known_Family
1260,5723,1,Potential_Novel_Family,Known_Family_Only
3018,4668,1,Potential_Novel_Family,Known_Family_Only
829,9532,1,Expanded_Known_Family,Potential_Novel_Family
829,2985,1,Expanded_Known_Family,Potential_Novel_Family
829,9226,7,Expanded_Known_Family,Expanded_Known_Family
829,10252,1,Expanded_Known_Family,Potential_Novel_Family
829,8712,1,Expanded_Known_Family,Expanded_Known_Family
531,7047,1,Expanded_Known_Family,Potential_Novel_Family
531,1714,5,Expanded_Known_Family,Expanded_Known_Family
531,1454,6,Expanded_Known_Family,Expanded_Known_Family
531,4846,1,Expanded_Known_Family,Potential_Novel_Family
531,10180,2,Expanded_Known_Family,Expanded_Known_Family
6092,9153,1,Known_Family_Only,Expanded_Known_Family
9153,2108,5,Expanded_Known_Family,Expanded_Known_Family
5811,6465,1,Potential_Novel_Family,Potential_Novel_Family
747,4381,2,Expanded_Known_Family,Known_Family_Only
747,5531,3,Expanded_Known_Family,Potential_Novel_Family
747,4087,4,Expanded_Known_Family,Expanded_Known_Family
747,2139,1,Expanded_Known_Family,Expanded_Known_Family
747,8049,1,Expanded_Known_Family,Known_Family_Only
11221,11908,27,Expanded_Known_Family,Expanded_Known_Family
11221,11746,14,Expanded_Known_Family,Expanded_Known_Family
11221,184,5,Expanded_Known_Family,Expanded_Known_Family
11221,1823,5,Expanded_Known_Family,Expanded_Known_Family
11221,3213,5,Expanded_Known_Family,Expanded_Known_Family
11221,7456,5,Expanded_Known_Family,Expanded_Known_Family
11221,11274,2,Expanded_Known_Family,Expanded_Known_Family
11221,11873,7,Expanded_Known_Family,Expanded_Known_Family
11221,12270,2,Expanded_Known_Family,Known_Family_Only
11221,10574,1,Expanded_Known_Family,Expanded_Known_Family
11221,9603,1,Expanded_Known_Family,Known_Family_Only
11221,10170,1,Expanded_Known_Family,Potential_Novel_Family
11221,11745,3,Expanded_Known_Family,Potential_Novel_Family
11221,139,1,Expanded_Known_Family,Expanded_Known_Family
11908,11437,1,Expanded_Known_Family,Potential_Novel_Family
11908,184,5,Expanded_Known_Family,Expanded_Known_Family
11908,1823,5,Expanded_Known_Family,Expanded_Known_Family
11908,3213,5,Expanded_Known_Family,Expanded_Known_Family
11908,7456,5,Expanded_Known_Family,Expanded_Known_Family
11908,11197,2,Expanded_Known_Family,Expanded_Known_Family
11908,9603,1,Expanded_Known_Family,Known_Family_Only
11908,11052,4,Expanded_Known_Family,Expanded_Known_Family
11908,11862,1,Expanded_Known_Family,Potential_Novel_Family
11908,7956,1,Expanded_Known_Family,Potential_Novel_Family
11908,11397,3,Expanded_Known_Family,Expanded_Known_Family
11908,11293,2,Expanded_Known_Family,Expanded_Known_Family
11908,11174,1,Expanded_Known_Family,Expanded_Known_Family
11908,11576,1,Expanded_Known_Family,Expanded_Known_Family
1376,5260,2,Potential_Novel_Family,Expanded_Known_Family
8969,9186,1,Known_Family_Only,Potential_Novel_Family
1850,11538,1,Known_Family_Only,Potential_Novel_Family
519,8228,2,Expanded_Known_Family,Expanded_Known_Family
3677,10289,1,Potential_Novel_Family,Known_Family_Only
4083,5012,3,Expanded_Known_Family,Potential_Novel_Family
4083,10208,1,Expanded_Known_Family,Known_Family_Only
4083,11088,2,Expanded_Known_Family,Potential_Novel_Family
4083,6177,1,Expanded_Known_Family,Expanded_Known_Family
9067,10938,1,Known_Family_Only,Potential_Novel_Family
128,9954,1,Known_Family_Only,Potential_Novel_Family
128,181,1,Known_Family_Only,Expanded_Known_Family
128,5085,1,Known_Family_Only,Potential_Novel_Family
2174,9036,1,Known_Family_Only,Potential_Novel_Family
2174,2614,1,Known_Family_Only,Potential_Novel_Family
5791,9548,2,Potential_Novel_Family,Potential_Novel_Family
9548,6147,1,Potential_Novel_Family,Potential_Novel_Family
230,861,1,Expanded_Known_Family,Potential_Novel_Family
230,7142,1,Expanded_Known_Family,Potential_Novel_Family
230,660,1,Expanded_Known_Family,Expanded_Known_Family
861,483,2,Potential_Novel_Family,Expanded_Known_Family
861,1437,1,Potential_Novel_Family,Expanded_Known_Family
1705,7391,1,Potential_Novel_Family,Potential_Novel_Family
1705,4231,3,Potential_Novel_Family,Expanded_Known_Family
5040,8781,15,Expanded_Known_Family,Expanded_Known_Family
5040,11412,6,Expanded_Known_Family,Expanded_Known_Family
5040,12317,1,Expanded_Known_Family,Known_Family_Only
5040,9188,4,Expanded_Known_Family,Expanded_Known_Family
5040,5295,1,Expanded_Known_Family,Expanded_Known_Family
5040,8316,2,Expanded_Known_Family,Expanded_Known_Family
5040,2058,3,Expanded_Known_Family,Expanded_Known_Family
5040,4621,1,Expanded_Known_Family,Potential_Novel_Family
5040,6584,1,Expanded_Known_Family,Potential_Novel_Family
5040,11252,1,Expanded_Known_Family,Expanded_Known_Family
5040,1353,2,Expanded_Known_Family,Potential_Novel_Family
5040,3743,1,Expanded_Known_Family,Potential_Novel_Family
5040,2360,1,Expanded_Known_Family,Potential_Novel_Family
5040,7928,1,Expanded_Known_Family,Potential_Novel_Family
5040,9362,1,Expanded_Known_Family,Expanded_Known_Family
5040,1862,1,Expanded_Known_Family,Known_Family_Only
5040,9689,1,Expanded_Known_Family,Known_Family_Only
5040,9426,1,Expanded_Known_Family,Known_Family_Only
5040,1483,1,Expanded_Known_Family,Potential_Novel_Family
8781,4670,5,Expanded_Known_Family,Expanded_Known_Family
8781,12749,1,Expanded_Known_Family,Potential_Novel_Family
7341,9182,5,Expanded_Known_Family,Expanded_Known_Family
7341,9842,1,Expanded_Known_Family,Expanded_Known_Family
7341,1937,1,Expanded_Known_Family,Expanded_Known_Family
7341,9145,1,Expanded_Known_Family,Expanded_Known_Family
7341,10155,1,Expanded_Known_Family,Known_Family_Only
9182,8317,1,Expanded_Known_Family,Known_Family_Only
9182,7453,1,Expanded_Known_Family,Potential_Novel_Family
9182,7297,3,Expanded_Known_Family,Expanded_Known_Family
9182,1,1,Expanded_Known_Family,Expanded_Known_Family
5778,9094,1,Known_Family_Only,Expanded_Known_Family
9094,11271,1,Expanded_Known_Family,Potential_Novel_Family
3057,3621,1,Known_Family_Only,Potential_Novel_Family
75,12443,1,Known_Family_Only,Potential_Novel_Family
75,77,1,Known_Family_Only,Expanded_Known_Family
11746,11174,7,Expanded_Known_Family,Expanded_Known_Family
243,4260,2,Expanded_Known_Family,Expanded_Known_Family
243,9728,1,Expanded_Known_Family,Known_Family_Only
243,390,1,Expanded_Known_Family,Potential_Novel_Family
243,3112,1,Expanded_Known_Family,Known_Family_Only
243,3113,1,Expanded_Known_Family,Known_Family_Only
243,690,1,Expanded_Known_Family,Expanded_Known_Family
243,823,1,Expanded_Known_Family,Potential_Novel_Family
4260,1262,2,Expanded_Known_Family,Expanded_Known_Family
4260,2493,3,Expanded_Known_Family,Expanded_Known_Family
5388,5634,1,Potential_Novel_Family,Potential_Novel_Family
5634,11275,3,Potential_Novel_Family,Known_Family_Only
7526,12633,1,Expanded_Known_Family,Potential_Novel_Family
7526,11812,1,Expanded_Known_Family,Known_Family_Only
7526,9596,1,Expanded_Known_Family,Known_Family_Only
7526,10848,4,Expanded_Known_Family,Potential_Novel_Family
7526,12285,4,Expanded_Known_Family,Expanded_Known_Family
7526,9933,8,Expanded_Known_Family,Expanded_Known_Family
7526,7481,1,Expanded_Known_Family,Known_Family_Only
7526,12879,1,Expanded_Known_Family,Potential_Novel_Family
7526,9800,1,Expanded_Known_Family,Potential_Novel_Family
7526,203,1,Expanded_Known_Family,Expanded_Known_Family
1107,9009,6,Expanded_Known_Family,Expanded_Known_Family
1107,5315,1,Expanded_Known_Family,Potential_Novel_Family
1107,7939,33,Expanded_Known_Family,Expanded_Known_Family
1107,2442,1,Expanded_Known_Family,Expanded_Known_Family
1107,5027,4,Expanded_Known_Family,Potential_Novel_Family
1107,7818,6,Expanded_Known_Family,Expanded_Known_Family
1107,7308,12,Expanded_Known_Family,Potential_Novel_Family
1107,8236,2,Expanded_Known_Family,Expanded_Known_Family
1107,8396,6,Expanded_Known_Family,Expanded_Known_Family
1107,9136,1,Expanded_Known_Family,Potential_Novel_Family
1107,108,1,Expanded_Known_Family,Expanded_Known_Family
1107,8221,1,Expanded_Known_Family,Known_Family_Only
1575,3576,1,Known_Family_Only,Expanded_Known_Family
1575,2662,1,Known_Family_Only,Potential_Novel_Family
1575,3920,1,Known_Family_Only,Potential_Novel_Family
3576,4948,1,Expanded_Known_Family,Potential_Novel_Family
3576,11748,1,Expanded_Known_Family,Potential_Novel_Family
1166,5157,1,Potential_Novel_Family,Known_Family_Only
5870,9808,1,Potential_Novel_Family,Known_Family_Only
4084,12705,1,Expanded_Known_Family,Potential_Novel_Family
4084,2154,1,Expanded_Known_Family,Potential_Novel_Family
4084,6461,1,Expanded_Known_Family,Potential_Novel_Family
750,7943,1,Potential_Novel_Family,Known_Family_Only
807,7503,1,Expanded_Known_Family,Potential_Novel_Family
807,10335,1,Expanded_Known_Family,Expanded_Known_Family
807,358,1,Expanded_Known_Family,Expanded_Known_Family
807,7733,1,Expanded_Known_Family,Potential_Novel_Family
8372,9991,2,Expanded_Known_Family,Potential_Novel_Family
8372,9791,1,Expanded_Known_Family,Potential_Novel_Family
8372,6739,1,Expanded_Known_Family,Potential_Novel_Family
9991,8371,2,Potential_Novel_Family,Expanded_Known_Family
99,4669,1,Expanded_Known_Family,Expanded_Known_Family
99,163,1,Expanded_Known_Family,Known_Family_Only
4669,4997,1,Expanded_Known_Family,Potential_Novel_Family
10207,11539,1,Known_Family_Only,Potential_Novel_Family
3882,4029,1,Expanded_Known_Family,Known_Family_Only
547,1024,1,Expanded_Known_Family,Potential_Novel_Family
547,1542,1,Expanded_Known_Family,Expanded_Known_Family
547,1703,1,Expanded_Known_Family,Known_Family_Only
1024,1542,1,Potential_Novel_Family,Expanded_Known_Family
1542,529,2,Expanded_Known_Family,Expanded_Known_Family
1542,533,1,Expanded_Known_Family,Potential_Novel_Family
1542,990,1,Expanded_Known_Family,Expanded_Known_Family
1542,11760,1,Expanded_Known_Family,Known_Family_Only
1542,10259,1,Expanded_Known_Family,Potential_Novel_Family
2320,6292,13,Expanded_Known_Family,Expanded_Known_Family
2320,7225,20,Expanded_Known_Family,Expanded_Known_Family
2320,6676,6,Expanded_Known_Family,Expanded_Known_Family
2320,1316,1,Expanded_Known_Family,Expanded_Known_Family
2320,6726,8,Expanded_Known_Family,Expanded_Known_Family
2320,2819,5,Expanded_Known_Family,Potential_Novel_Family
2320,3378,2,Expanded_Known_Family,Potential_Novel_Family
2320,11940,2,Expanded_Known_Family,Expanded_Known_Family
2320,7986,1,Expanded_Known_Family,Known_Family_Only
5582,7829,2,Expanded_Known_Family,Expanded_Known_Family
5582,8235,1,Expanded_Known_Family,Potential_Novel_Family
5582,7536,1,Expanded_Known_Family,Expanded_Known_Family
7829,2610,1,Expanded_Known_Family,Expanded_Known_Family
7829,7536,1,Expanded_Known_Family,Expanded_Known_Family
7829,3610,1,Expanded_Known_Family,Known_Family_Only
2139,4439,1,Expanded_Known_Family,Expanded_Known_Family
2139,10381,1,Expanded_Known_Family,Known_Family_Only
2139,6009,1,Expanded_Known_Family,Potential_Novel_Family
2139,8040,2,Expanded_Known_Family,Expanded_Known_Family
2139,4974,1,Expanded_Known_Family,Potential_Novel_Family
2139,11671,1,Expanded_Known_Family,Potential_Novel_Family
2139,6762,1,Expanded_Known_Family,Potential_Novel_Family
2139,1749,1,Expanded_Known_Family,Expanded_Known_Family
2139,1937,1,Expanded_Known_Family,Expanded_Known_Family
2139,11160,1,Expanded_Known_Family,Expanded_Known_Family
4439,10381,1,Expanded_Known_Family,Known_Family_Only
4439,9959,1,Expanded_Known_Family,Known_Family_Only
4439,10239,1,Expanded_Known_Family,Potential_Novel_Family
4439,8069,2,Expanded_Known_Family,Potential_Novel_Family
4439,5952,1,Expanded_Known_Family,Potential_Novel_Family
4439,9120,1,Expanded_Known_Family,Potential_Novel_Family
4127,6769,1,Expanded_Known_Family,Potential_Novel_Family
4127,388,1,Expanded_Known_Family,Potential_Novel_Family
4127,132,1,Expanded_Known_Family,Expanded_Known_Family
4127,12746,1,Expanded_Known_Family,Potential_Novel_Family
4127,613,4,Expanded_Known_Family,Expanded_Known_Family
4127,12025,1,Expanded_Known_Family,Potential_Novel_Family
4216,4967,2,Known_Family_Only,Potential_Novel_Family
2928,10304,1,Potential_Novel_Family,Potential_Novel_Family
10304,7028,4,Potential_Novel_Family,Expanded_Known_Family
10304,6850,1,Potential_Novel_Family,Known_Family_Only
10304,11961,1,Potential_Novel_Family,Known_Family_Only
634,11621,1,Expanded_Known_Family,Potential_Novel_Family
634,10708,1,Expanded_Known_Family,Known_Family_Only
6867,12787,1,Potential_Novel_Family,Potential_Novel_Family
2462,8774,1,Expanded_Known_Family,Expanded_Known_Family
2462,9042,1,Expanded_Known_Family,Expanded_Known_Family
2462,469,1,Expanded_Known_Family,Expanded_Known_Family
8774,2430,5,Expanded_Known_Family,Expanded_Known_Family
8774,4770,3,Expanded_Known_Family,Expanded_Known_Family
8774,4952,2,Expanded_Known_Family,Expanded_Known_Family
3973,10641,1,Known_Family_Only,Potential_Novel_Family
3894,8937,1,Expanded_Known_Family,Known_Family_Only
3894,4954,2,Expanded_Known_Family,Potential_Novel_Family
3894,12227,1,Expanded_Known_Family,Potential_Novel_Family
3894,6260,1,Expanded_Known_Family,Expanded_Known_Family
5423,9154,1,Known_Family_Only,Potential_Novel_Family
12067,12504,1,Known_Family_Only,Potential_Novel_Family
1572,11156,1,Potential_Novel_Family,Known_Family_Only
946,8525,1,Expanded_Known_Family,Potential_Novel_Family
946,4582,1,Expanded_Known_Family,Potential_Novel_Family
946,6974,1,Expanded_Known_Family,Potential_Novel_Family
946,147,4,Expanded_Known_Family,Expanded_Known_Family
946,3746,3,Expanded_Known_Family,Known_Family_Only
946,3244,1,Expanded_Known_Family,Known_Family_Only
946,4583,1,Expanded_Known_Family,Potential_Novel_Family
946,3321,2,Expanded_Known_Family,Expanded_Known_Family
946,631,1,Expanded_Known_Family,Expanded_Known_Family
946,3109,1,Expanded_Known_Family,Known_Family_Only
946,6599,1,Expanded_Known_Family,Potential_Novel_Family
946,800,1,Expanded_Known_Family,Known_Family_Only
946,8296,1,Expanded_Known_Family,Potential_Novel_Family
946,4334,1,Expanded_Known_Family,Potential_Novel_Family
946,3036,4,Expanded_Known_Family,Known_Family_Only
946,2147,3,Expanded_Known_Family,Potential_Novel_Family
946,3155,1,Expanded_Known_Family,Known_Family_Only
1978,11272,1,Expanded_Known_Family,Known_Family_Only
1978,3553,1,Expanded_Known_Family,Known_Family_Only
1978,9615,1,Expanded_Known_Family,Potential_Novel_Family
1291,5185,1,Potential_Novel_Family,Known_Family_Only
5724,10987,1,Known_Family_Only,Expanded_Known_Family
10987,8713,1,Expanded_Known_Family,Potential_Novel_Family
10987,1691,1,Expanded_Known_Family,Potential_Novel_Family
10987,3368,1,Expanded_Known_Family,Expanded_Known_Family
10987,3860,1,Expanded_Known_Family,Known_Family_Only
10987,7970,1,Expanded_Known_Family,Expanded_Known_Family
10987,2265,1,Expanded_Known_Family,Expanded_Known_Family
10987,10221,1,Expanded_Known_Family,Potential_Novel_Family
652,712,1,Known_Family_Only,Potential_Novel_Family
2309,5749,1,Potential_Novel_Family,Potential_Novel_Family
1154,1220,1,Known_Family_Only,Potential_Novel_Family
1154,3235,1,Known_Family_Only,Known_Family_Only
1154,147,1,Known_Family_Only,Expanded_Known_Family
1220,3235,1,Potential_Novel_Family,Known_Family_Only
4,360,1,Expanded_Known_Family,Known_Family_Only
4,456,1,Expanded_Known_Family,Expanded_Known_Family
