composition,family_count,system_frequency,has_novel_family,novel_families
"(1107, 7939)",2,33,False,[]
"(11122, 12566)",2,30,True,[12566]
"(10482, 11507)",2,30,False,[]
"(6238, 8131)",2,25,False,[]
"(5342, 9014)",2,23,False,[]
"(740, 1532)",2,21,False,[]
"(11221, 11908)",2,21,False,[]
"(3462, 5555)",2,20,False,[]
"(6200, 6244)",2,20,False,[]
"(4798, 8448)",2,20,False,[]
"(2320, 7225)",2,20,False,[]
"(7775, 8598)",2,19,False,[]
"(11320, 11882)",2,18,False,[]
"(6558, 8308)",2,17,False,[]
"(539, 1714)",2,17,False,[]
"(5040, 8781)",2,15,False,[]
"(5494, 8374)",2,15,False,[]
"(11221, 11746)",2,14,False,[]
"(3783, 6438)",2,14,False,[]
"(2465, 5923)",2,14,True,[2465]
"(2320, 6292)",2,13,False,[]
"(184, 3213)",2,13,False,[]
"(5392, 7318)",2,13,False,[]
"(5043, 8018)",2,13,False,[]
"(5812, 6433)",2,13,False,[]
"(5392, 7630)",2,12,False,[]
"(2950, 9467)",2,12,False,[]
"(6538, 10544)",2,12,False,[]
"(1107, 7308)",2,12,True,[7308]
"(10608, 11653)",2,12,False,[]
"(11844, 11938)",2,12,False,[]
"(6012, 7258)",2,11,False,[]
"(8168, 11815)",2,11,False,[]
"(10608, 12019)",2,11,False,[]
"(11067, 11427)",2,10,False,[]
"(10766, 12267)",2,10,False,[]
"(5743, 8374)",2,10,False,[]
"(5075, 8345)",2,10,False,[]
"(4311, 8452)",2,10,False,[]
"(5398, 7171)",2,10,False,[]
"(11587, 11853)",2,10,False,[]
"(11442, 11804)",2,10,False,[]
"(690, 2340)",2,9,False,[]
"(10575, 12196)",2,9,False,[]
"(3327, 3352)",2,9,True,[3327]
"(2237, 3105)",2,9,False,[]
"(10482, 12281)",2,9,True,[12281]
"(2127, 4770)",2,9,False,[]
"(5392, 8092)",2,9,False,[]
"(8054, 9048)",2,9,False,[]
"(10806, 11357)",2,9,False,[]
"(6558, 8223)",2,8,False,[]
"(10506, 12670)",2,8,True,[12670]
"(4031, 6116)",2,8,False,[]
"(4801, 8448)",2,8,False,[]
"(11683, 12256)",2,8,True,"[11683, 12256]"
"(2320, 6726)",2,8,False,[]
"(7526, 9933)",2,8,False,[]
"(10998, 11507)",2,8,False,[]
"(685, 1918)",2,8,False,[]
"(5608, 5613)",2,8,False,[]
"(2752, 4706)",2,8,True,[4706]
"(316, 380)",2,8,False,[]
"(686, 4408)",2,8,True,[686]
"(3993, 11795)",2,8,False,[]
"(3717, 7694)",2,8,False,[]
"(5392, 7473)",2,8,False,[]
"(4092, 5784)",2,7,False,[]
"(2018, 7642)",2,7,False,[]
"(11303, 11889)",2,7,False,[]
"(3740, 4642)",2,7,False,[]
"(280, 340)",2,7,True,[280]
"(11666, 12070)",2,7,False,[]
"(4826, 6260)",2,7,False,[]
"(10246, 11013)",2,7,False,[]
"(7802, 10083)",2,7,False,[]
"(11174, 11746)",2,7,False,[]
"(3432, 6492)",2,7,False,[]
"(829, 9226)",2,7,False,[]
"(1562, 4970)",2,7,False,[]
"(2100, 5909)",2,7,False,[]
"(2658, 12527)",2,7,False,[]
