Architecture,Frequency,Novel_Subunits,Anchored_Known_System
"(3447, 8227)",36,[3447],Fam_8227=AbiEii__AbiEii
"(5284, 6902)",25,[5284],Fam_6902=SanaTA__SanaT
"(2072, 4371)",24,[2072],Fam_4371=Unknown_Defense
"(5019, 5048)",22,[5048],Fam_5019=RM_Type_II__Type_II_REases
"(11895, 13344)",20,[13344],Fam_11895=MazEF__MazF
"(3023, 8709)",20,[3023],Fam_8709=RM_Type_II__Type_II_REases
"(2223, 6301)",19,[2223],Fam_6301=Pycsar__AG_cyclase
"(585, 2558, 3491)",17,[2558],Fam_585=RM_Type_II__Type_II_REases; Fam_3491=RM_Type_II__Type_II_MTases
"(13228, 13850)",17,[13228],Fam_13850=MazEF__MazE
"(678, 1868)",17,[1868],Fam_678=Shango__SngC
"(6478, 9622)",12,[6478],Fam_9622=AbiEii__AbiEi
"(896, 12412)",12,[896],Fam_12412=Unknown_Defense
"(262, 450, 3691)",12,[3691],Fam_262=RM_Type_IIG__Type_IIG; Fam_450=RM_Type_IV__Type_IV_REases
"(11895, 13612)",12,[13612],Fam_11895=MazEF__MazF
"(6193, 9173)",12,[6193],Fam_9173=ShosTA__ShosT
"(1429, 1703)",11,[1703],Fam_1429=Unknown_Defense
"(12942, 13858)",11,[12942],Fam_13858=Unknown_Defense
"(3731, 11984)",10,[11984],Fam_3731=Unknown_Defense
"(1440, 2606)",10,[2606],Fam_1440=Unknown_Defense
"(4031, 9529)",10,[4031],Fam_9529=Menshen__NsnC
"(3044, 9757)",10,[9757],Fam_3044=Unknown_Defense
"(6193, 9979)",10,[6193],Fam_9979=Unknown_Defense
"(12810, 13852)",10,[12810],Fam_13852=MazEF__MazE
"(2319, 2407)",9,[2319],Fam_2407=pAgo__pAgo_S1B
"(671, 6191)",9,[671],Fam_6191=Unknown_Defense
"(12353, 13588)",9,[13588],Fam_12353=MazEF__MazF
"(8986, 13876)",9,[8986],Fam_13876=MazEF__MazE
"(2570, 7958)",9,[7958],Fam_2570=Unknown_Defense
"(7857, 13418)",8,[7857],Fam_13418=Unknown_Defense
"(5780, 8378)",8,[8378],Fam_5780=Unknown_Defense
"(8078, 9578)",8,[9578],Fam_8078=AbiEii__AbiEii
"(2948, 9683)",8,[2948],Fam_9683=AbiL__AbiLii2
"(8852, 13911)",8,[13911],Fam_8852=AbiEii__AbiEii
"(11021, 12960)",8,[12960],Fam_11021=MazEF__MazF
"(891, 3923)",7,[3923],Fam_891=cas1_I_II_III_IV_V_VI_1
"(7650, 7712)",7,[7712],Fam_7650=AbiEii__AbiEii
"(2486, 8054)",7,[8054],Fam_2486=Wadjet__JetA_III
"(3753, 12911)",7,[3753],Fam_12911=Unknown_Defense
"(9552, 10195)",7,[9552],Fam_10195=Unknown_Defense
"(2209, 4186)",7,[4186],Fam_2209=RM_Type_II__Type_II_MTases
"(5637, 7199)",7,[5637],Fam_7199=Unknown_Defense
"(7673, 9907)",7,[7673],Fam_9907=AbiEii__AbiEi
"(2806, 12583)",7,[2806],Fam_12583=Unknown_Defense
"(1817, 3886)",7,[3886],Fam_1817=Gao_Her_SIR__HerA_SIR2
"(4, 3303)",7,[3303],Fam_4=Unknown_Defense
"(2458, 6293)",6,[2458],Fam_6293=Wadjet__JetB_II
"(573, 2041)",6,[2041],Fam_573=Dpd__DpdJ
"(4973, 6784)",6,[6784],Fam_4973=Thoeris__ThsB_Global
"(472, 613)",6,[613],Fam_472=Unknown_Defense
"(2618, 6463)",6,[6463],Fam_2618=MazEF__MazE
"(8812, 11542)",6,[11542],Fam_8812=Unknown_Defense
"(6999, 9088)",6,[9088],Fam_6999=Unknown_Defense
"(13263, 13287)",6,[13263],Fam_13287=MazEF__MazF
"(13369, 13880)",6,[13880],Fam_13369=Unknown_Defense
"(1478, 3347)",6,[3347],Fam_1478=ShosTA__ShosT
"(5154, 7565)",6,[5154],Fam_7565=Unknown_Defense
"(1831, 10036)",6,[1831],Fam_10036=MazEF__MazF
"(10491, 13852)",6,[10491],Fam_13852=MazEF__MazE
"(2837, 8180)",6,[2837],Fam_8180=Zorya__ZorB
"(5907, 9180)",6,[5907],Fam_9180=Unknown_Defense
"(160, 1291, 1936, 8554)",6,[1936],Fam_160=Zorya_TypeI__ZorD; Fam_1291=Zorya__ZorA; Fam_8554=Zorya__ZorB
"(12946, 13534)",6,[12946],Fam_13534=PfiAT__PfiA
"(4463, 4802)",5,"[4463, 4802]",Pure_Novel_System
"(13298, 13411)",5,[13411],Fam_13298=PfiAT__PfiA
"(9058, 11962)",5,"[9058, 11962]",Pure_Novel_System
"(3362, 13585)",5,"[3362, 13585]",Pure_Novel_System
"(2552, 8597)",5,[2552],Fam_8597=cas2_I_II_III_IV_V_VI_13
"(5053, 7169)",5,[7169],Fam_5053=RM_Type_II__Type_II_MTases
"(7471, 9571)",5,[7471],Fam_9571=AbiEii__AbiEi
"(6710, 9878)",5,[9878],Fam_6710=cas1_I_II_III_IV_V_VI_1
"(11730, 12652)",5,[12652],Fam_11730=MazEF__MazF
"(1561, 1797)",5,[1561],Fam_1797=RM_Type_II__Type_II_MTases
"(3073, 11316)",5,[3073],Fam_11316=Unknown_Defense
"(1273, 1733)",5,[1273],Fam_1733=Eleos__LeoA
"(5066, 12911)",5,[5066],Fam_12911=Unknown_Defense
"(13730, 14001)",5,[14001],Fam_13730=Unknown_Defense
"(9318, 13825)",5,[9318],Fam_13825=Unknown_Defense
"(2156, 3055, 5665)",5,[5665],Fam_2156=RM_Type_IV__Type_IV_REases; Fam_3055=RM_Type_II__Type_II_MTases
"(3376, 14191)",5,[14191],Fam_3376=Unknown_Defense
"(589, 10275)",5,[10275],Fam_589=Unknown_Defense
"(5342, 9332)",5,[9332],Fam_5342=SanaTA__SanaT
"(9382, 10497)",5,[10497],Fam_9382=AbiEii__AbiEii
"(7024, 9664)",5,[7024],Fam_9664=Unknown_Defense
"(9452, 13490)",5,[9452],Fam_13490=Unknown_Defense
"(12529, 13385)",5,[13385],Fam_12529=MazEF__MazF
"(8089, 13442)",5,[8089],Fam_13442=Unknown_Defense
"(13309, 13310)",5,[13309],Fam_13310=Unknown_Defense
"(185, 1880)",5,[1880],Fam_185=Unknown_Defense
"(2154, 4306)",5,[4306],Fam_2154=RM_Type_II__Type_II_MTases
