composition,family_count,system_frequency,has_novel_family,novel_families
"(3447, 8227)",2,36,True,[3447]
"(5284, 6902)",2,25,True,[5284]
"(2072, 4371)",2,24,True,[2072]
"(5019, 5048)",2,22,True,[5048]
"(11895, 13344)",2,20,True,[13344]
"(3023, 8709)",2,20,True,[3023]
"(2223, 6301)",2,19,True,[2223]
"(585, 2558, 3491)",3,17,True,[2558]
"(13228, 13850)",2,17,True,[13228]
"(678, 1868)",2,17,True,[1868]
"(6478, 9622)",2,12,True,[6478]
"(896, 12412)",2,12,True,[896]
"(262, 450, 3691)",3,12,True,[3691]
"(11895, 13612)",2,12,True,[13612]
"(6193, 9173)",2,12,True,[6193]
"(1429, 1703)",2,11,True,[1703]
"(12942, 13858)",2,11,True,[12942]
"(3731, 11984)",2,10,True,[11984]
"(1440, 2606)",2,10,True,[2606]
"(4031, 9529)",2,10,True,[4031]
"(3044, 9757)",2,10,True,[9757]
"(6193, 9979)",2,10,True,[6193]
"(12810, 13852)",2,10,True,[12810]
"(2319, 2407)",2,9,True,[2319]
"(671, 6191)",2,9,True,[671]
"(12353, 13588)",2,9,True,[13588]
"(8986, 13876)",2,9,True,[8986]
"(2570, 7958)",2,9,True,[7958]
"(7857, 13418)",2,8,True,[7857]
"(5780, 8378)",2,8,True,[8378]
"(8078, 9578)",2,8,True,[9578]
"(2948, 9683)",2,8,True,[2948]
"(8852, 13911)",2,8,True,[13911]
"(11021, 12960)",2,8,True,[12960]
"(891, 3923)",2,7,True,[3923]
"(7650, 7712)",2,7,True,[7712]
"(2486, 8054)",2,7,True,[8054]
"(3753, 12911)",2,7,True,[3753]
"(9552, 10195)",2,7,True,[9552]
"(2209, 4186)",2,7,True,[4186]
"(5637, 7199)",2,7,True,[5637]
"(7673, 9907)",2,7,True,[7673]
"(2806, 12583)",2,7,True,[2806]
"(1817, 3886)",2,7,True,[3886]
"(4, 3303)",2,7,True,[3303]
"(2458, 6293)",2,6,True,[2458]
"(573, 2041)",2,6,True,[2041]
"(4973, 6784)",2,6,True,[6784]
"(472, 613)",2,6,True,[613]
"(2618, 6463)",2,6,True,[6463]
"(8812, 11542)",2,6,True,[11542]
"(6999, 9088)",2,6,True,[9088]
"(13263, 13287)",2,6,True,[13263]
"(13369, 13880)",2,6,True,[13880]
"(1478, 3347)",2,6,True,[3347]
"(5154, 7565)",2,6,True,[5154]
"(1831, 10036)",2,6,True,[1831]
"(10491, 13852)",2,6,True,[10491]
"(2837, 8180)",2,6,True,[2837]
"(5907, 9180)",2,6,True,[5907]
"(160, 1291, 1936, 8554)",4,6,True,[1936]
"(12946, 13534)",2,6,True,[12946]
"(4463, 4802)",2,5,True,"[4463, 4802]"
"(13298, 13411)",2,5,True,[13411]
"(9058, 11962)",2,5,True,"[9058, 11962]"
"(3362, 13585)",2,5,True,"[3362, 13585]"
"(2552, 8597)",2,5,True,[2552]
"(5053, 7169)",2,5,True,[7169]
"(7471, 9571)",2,5,True,[7471]
"(6710, 9878)",2,5,True,[9878]
"(11730, 12652)",2,5,True,[12652]
"(1561, 1797)",2,5,True,[1561]
"(3073, 11316)",2,5,True,[3073]
"(1273, 1733)",2,5,True,[1273]
"(5066, 12911)",2,5,True,[5066]
"(13730, 14001)",2,5,True,[14001]
"(9318, 13825)",2,5,True,[9318]
"(2156, 3055, 5665)",3,5,True,[5665]
"(3376, 14191)",2,5,True,[14191]
"(589, 10275)",2,5,True,[10275]
"(5342, 9332)",2,5,True,[9332]
"(9382, 10497)",2,5,True,[10497]
"(7024, 9664)",2,5,True,[7024]
"(9452, 13490)",2,5,True,[9452]
"(12529, 13385)",2,5,True,[13385]
"(8089, 13442)",2,5,True,[8089]
"(13309, 13310)",2,5,True,[13309]
"(185, 1880)",2,5,True,[1880]
"(2154, 4306)",2,5,True,[4306]
"(234, 990, 2850)",3,5,True,[990]
"(5124, 7416)",2,5,True,[5124]
"(2589, 5214)",2,5,True,[5214]
"(6198, 9317)",2,5,True,[6198]
"(8528, 11805)",2,5,True,[11805]
"(9344, 13003)",2,5,True,[9344]
"(5556, 7685)",2,5,True,[5556]
"(12767, 13335)",2,5,True,"[12767, 13335]"
"(3665, 9339)",2,5,True,[9339]
"(9774, 11610)",2,5,True,[9774]
"(4177, 9939)",2,5,True,[4177]
"(192, 983, 3398)",3,4,True,[3398]
"(3302, 9273)",2,4,True,"[3302, 9273]"
"(7482, 9424)",2,4,True,[9424]
"(329, 1174)",2,4,True,[329]
"(11102, 12408)",2,4,True,[11102]
"(10115, 12885)",2,4,True,"[10115, 12885]"
"(1819, 9914, 10347)",3,4,True,"[9914, 10347]"
"(1479, 4211, 11678)",3,4,True,[1479]
"(3680, 10268)",2,4,True,[10268]
"(4212, 9772)",2,4,True,"[4212, 9772]"
"(1438, 5102)",2,4,True,[1438]
"(12815, 14068)",2,4,True,[14068]
"(3265, 4028)",2,4,True,[4028]
"(8133, 13552)",2,4,True,"[8133, 13552]"
"(6794, 9481)",2,4,True,[9481]
"(5611, 12033)",2,4,True,[12033]
"(3012, 10576)",2,4,True,"[3012, 10576]"
"(1468, 9611)",2,4,True,[9611]
"(3331, 5712)",2,4,True,[5712]
"(1785, 3524)",2,4,True,[1785]
"(5318, 10371)",2,4,True,[10371]
"(1034, 9179)",2,4,True,[9179]
"(7067, 12396)",2,4,True,[12396]
"(981, 12682)",2,4,True,[981]
"(3894, 12511)",2,4,True,[12511]
"(736, 1677)",2,4,True,"[736, 1677]"
"(3133, 12698)",2,4,True,[12698]
"(6552, 8218)",2,4,True,[8218]
"(678, 5256)",2,4,True,[5256]
"(1005, 1299)",2,4,True,[1005]
"(7824, 9687)",2,4,True,[9687]
"(3761, 10958)",2,4,True,[3761]
"(105, 201, 557, 674, 1173, 1194, 2668, 3083, 7066, 9410, 10520)",11,4,True,[10520]
"(3969, 5711, 7227)",3,4,True,[3969]
"(3580, 4504)",2,4,True,[4504]
"(3212, 6069)",2,4,True,[3212]
"(5222, 6458)",2,4,True,[6458]
"(8029, 9239)",2,4,True,[9239]
"(2208, 5872)",2,4,True,[5872]
"(6008, 10738)",2,4,True,[6008]
"(3943, 10596)",2,4,True,"[3943, 10596]"
"(13605, 13832)",2,4,True,[13832]
"(993, 4560)",2,4,True,[993]
"(13017, 13296)",2,4,True,[13017]
"(6264, 9539)",2,4,True,[6264]
"(3585, 4764, 8363)",3,4,True,[4764]
"(391, 537)",2,4,True,"[391, 537]"
"(4249, 4398)",2,4,True,[4249]
"(4077, 6450)",2,4,True,[4077]
"(4157, 4983)",2,4,True,[4983]
"(4327, 8365)",2,4,True,"[4327, 8365]"
"(1530, 12448)",2,4,True,[1530]
"(5748, 9652)",2,4,True,[9652]
"(8395, 13531)",2,4,True,[13531]
"(11849, 14034)",2,4,True,[14034]
"(4030, 9417)",2,4,True,[4030]
"(626, 988)",2,4,True,[988]
"(12962, 13761)",2,4,True,[13761]
"(4632, 12891)",2,4,True,[4632]
"(4369, 6585)",2,4,True,[6585]
"(5807, 9738)",2,4,True,[5807]
"(1671, 2802)",2,4,True,[2802]
"(12198, 13303)",2,4,True,[13303]
"(5045, 10741)",2,4,True,[10741]
"(12336, 13282)",2,4,True,"[12336, 13282]"
"(5603, 8203)",2,4,True,[8203]
"(10376, 12960)",2,4,True,[12960]
"(7700, 13451)",2,4,True,[13451]
"(3678, 4735)",2,4,True,[4735]
"(5633, 5762)",2,4,True,[5633]
"(11895, 13143)",2,4,True,[13143]
"(438, 726)",2,4,True,[726]
"(5502, 9416)",2,4,True,[9416]
"(1789, 5732)",2,4,True,[5732]
"(12529, 13626)",2,4,True,[13626]
"(636, 3372)",2,4,True,[636]
"(7419, 12441)",2,4,True,"[7419, 12441]"
"(8466, 10564)",2,4,True,[8466]
"(783, 10229)",2,4,True,[783]
"(7330, 11918)",2,4,True,[7330]
"(3002, 5528)",2,3,True,[3002]
"(5743, 12648)",2,3,True,[5743]
"(6746, 8354)",2,3,True,[6746]
"(6040, 9034)",2,3,True,[9034]
"(3801, 9328)",2,3,True,[9328]
"(1624, 2377, 3269)",3,3,True,[1624]
"(5477, 5842)",2,3,True,[5477]
"(5006, 6006)",2,3,True,[6006]
"(3758, 3758)",2,3,True,[3758]
"(1566, 4055)",2,3,True,[1566]
"(8144, 13112)",2,3,True,[13112]
"(7518, 7650)",2,3,True,[7518]
"(10630, 11451)",2,3,True,[11451]
"(3081, 5006)",2,3,True,[3081]
"(5215, 12185)",2,3,True,[12185]
"(2385, 4970)",2,3,True,[2385]
"(1599, 10793)",2,3,True,[1599]
"(1523, 7247)",2,3,True,[7247]
"(647, 11495)",2,3,True,[11495]
"(10631, 11539)",2,3,True,[11539]
"(2553, 3696, 6417)",3,3,True,[6417]
"(10680, 11663)",2,3,True,"[10680, 11663]"
"(6941, 7094)",2,3,True,"[6941, 7094]"
"(1922, 9724)",2,3,True,[9724]
"(413, 1330, 5723)",3,3,True,[1330]
"(5540, 8124, 12817, 13462, 13529)",5,3,True,[12817]
"(8190, 11189)",2,3,True,[11189]
"(220, 3196)",2,3,True,[3196]
"(5352, 6685)",2,3,True,[6685]
"(1834, 4234, 12589)",3,3,True,"[4234, 12589]"
"(1220, 5990)",2,3,True,[5990]
"(12948, 14170)",2,3,True,"[12948, 14170]"
"(3306, 8822)",2,3,True,[3306]
"(10047, 10574)",2,3,True,[10047]
"(4343, 12236)",2,3,True,[12236]
"(1068, 2783)",2,3,True,[2783]
"(2121, 5934)",2,3,True,[5934]
"(13461, 13850)",2,3,True,[13461]
"(7362, 13312)",2,3,True,[13312]
