Architecture,Frequency,Novel_Subunits,Anchored_Known_System
"(11122, 12566)",30,[12566],Fam_11122=MazEF__MazF
"(2465, 5923)",14,[2465],Fam_5923=Unknown_Defense
"(1107, 7308)",12,[7308],Fam_1107=Shango__SngC
"(3327, 3352)",9,[3327],Fam_3352=Unknown_Defense
"(10482, 12281)",9,[12281],Fam_10482=MazEF__MazF
"(10506, 12670)",8,[12670],Fam_10506=MazEF__MazF
"(11683, 12256)",8,"[11683, 12256]",Pure_Novel_System
"(2752, 4706)",8,[4706],Fam_2752=Pycsar__AG_cyclase
"(686, 4408)",8,[686],Fam_4408=Druantia_I__DruB
"(280, 340)",7,[280],Fam_340=DISARM_1__drmD
"(3255, 9815)",6,"[3255, 9815]",Pure_Novel_System
"(5546, 11465)",6,[5546],Fam_11465=cas2_I_II_III_IV_V_VI_3
"(5907, 5974)",6,[5907],Fam_5974=AbiEii__AbiEii
"(414, 3846)",6,[3846],Fam_414=Shango__SngC
"(3136, 9040)",6,[9040],Fam_3136=Menshen__NsnB
"(3810, 6053)",6,[6053],Fam_3810=AbiEii__AbiEi
"(6490, 7015)",6,[7015],Fam_6490=Unknown_Defense
"(1825, 10592)",6,"[1825, 10592]",Pure_Novel_System
"(1486, 4280)",6,[4280],Fam_1486=RM_Type_II__Type_II_MTases
"(3101, 3588)",6,[3588],Fam_3101=AbiEii__AbiEii
"(2323, 6281)",6,[6281],Fam_2323=csx1_III_10
"(674, 739)",6,[739],Fam_674=BREX__brxL
"(6224, 8141)",6,[8141],Fam_6224=AbiEii__AbiEii
"(4840, 8928)",6,[4840],Fam_8928=ShosTA__ShosT
"(9367, 9566)",6,[9566],Fam_9367=Unknown_Defense
"(4619, 5525)",6,[5525],Fam_4619=RM_Type_II__Type_II_MTases
"(4457, 6154)",6,[4457],Fam_6154=Unknown_Defense
"(5544, 5769)",6,[5769],Fam_5544=BREX__brxB_DUF1788
"(4437, 5779)",5,[4437],Fam_5779=AbiEii__AbiEii
"(2173, 10248)",5,[2173],Fam_10248=RM_Type_II__Type_II_REases
"(10237, 10514)",5,[10237],Fam_10514=Unknown_Defense
"(2585, 7571)",5,[2585],Fam_7571=AbiEii__AbiEii
"(11273, 11765)",5,[11765],Fam_11273=MazEF__MazF
"(2320, 2819)",5,[2819],Fam_2320=Pycsar__AG_cyclase
"(8249, 9236)",5,[9236],Fam_8249=Unknown_Defense
"(860, 3314)",5,[860],Fam_3314=RM_Type_II__Type_II_MTases
"(3823, 7368)",5,[3823],Fam_7368=AbiL__AbiLii2
"(9414, 11996)",5,[11996],Fam_9414=MazEF__MazF
"(852, 9511)",5,[9511],Fam_852=PsyrTA__PsyrT
"(1078, 6179)",5,[1078],Fam_6179=Unknown_Defense
"(140, 5862, 7919)",5,[7919],Fam_140=Wadjet__JetC_II; Fam_5862=Wadjet__JetD_III
"(6478, 9915)",5,[9915],Fam_6478=Unknown_Defense
"(1434, 3368)",5,[1434],Fam_3368=SoFic__SoFic
"(948, 6980)",5,"[948, 6980]",Pure_Novel_System
"(863, 12576)",5,[12576],Fam_863=Unknown_Defense
"(6813, 8660)",5,[8660],Fam_6813=AbiEii__AbiEi
"(1358, 7400)",5,[1358],Fam_7400=Unknown_Defense
"(8277, 10139)",5,[8277],Fam_10139=AbiEii__AbiEi
"(5728, 11053)",5,[5728],Fam_11053=Unknown_Defense
"(3750, 8394)",4,[8394],Fam_3750=RM_Type_II__Type_II_REases
"(8277, 9349)",4,[8277],Fam_9349=RM_Type_IV__Type_IV_REases
"(7883, 8048)",4,[7883],Fam_8048=Unknown_Defense
"(4503, 5663)",4,[4503],Fam_5663=AbiEii__AbiEii
"(6473, 7208)",4,[6473],Fam_7208=Unknown_Defense
"(2429, 11459)",4,[2429],Fam_11459=cas2_I_II_III_IV_V_VI_3
"(3678, 10790)",4,"[3678, 10790]",Pure_Novel_System
"(10272, 11308)",4,[10272],Fam_11308=MazEF__MazF
"(2251, 2883)",4,[2883],Fam_2251=Unknown_Defense
"(7526, 10848, 12285)",4,[10848],Fam_7526=cas1_I_II_III_IV_V_VI_1; Fam_12285=cas2_I_II_III_IV_V_VI_3
"(7524, 9057)",4,[9057],Fam_7524=AbiEii__AbiEii
"(2704, 6094)",4,[6094],Fam_2704=AbiL__AbiLi2
"(10933, 12416)",4,[10933],Fam_12416=Unknown_Defense
"(1531, 4282)",4,[1531],Fam_4282=Unknown_Defense
"(6772, 9591)",4,[9591],Fam_6772=AbiEii__AbiEi
"(737, 1337)",4,[1337],Fam_737=RM_Type_IIG__Type_IIG
"(6251, 9730)",4,[6251],Fam_9730=Unknown_Defense
