composition,family_count,system_frequency,has_novel_family,novel_families
"(11122, 12566)",2,30,True,[12566]
"(2465, 5923)",2,14,True,[2465]
"(1107, 7308)",2,12,True,[7308]
"(3327, 3352)",2,9,True,[3327]
"(10482, 12281)",2,9,True,[12281]
"(10506, 12670)",2,8,True,[12670]
"(11683, 12256)",2,8,True,"[11683, 12256]"
"(2752, 4706)",2,8,True,[4706]
"(686, 4408)",2,8,True,[686]
"(280, 340)",2,7,True,[280]
"(3255, 9815)",2,6,True,"[3255, 9815]"
"(5546, 11465)",2,6,True,[5546]
"(5907, 5974)",2,6,True,[5907]
"(414, 3846)",2,6,True,[3846]
"(3136, 9040)",2,6,True,[9040]
"(3810, 6053)",2,6,True,[6053]
"(6490, 7015)",2,6,True,[7015]
"(1825, 10592)",2,6,True,"[1825, 10592]"
"(1486, 4280)",2,6,True,[4280]
"(3101, 3588)",2,6,True,[3588]
"(2323, 6281)",2,6,True,[6281]
"(674, 739)",2,6,True,[739]
"(6224, 8141)",2,6,True,[8141]
"(4840, 8928)",2,6,True,[4840]
"(9367, 9566)",2,6,True,[9566]
"(4619, 5525)",2,6,True,[5525]
"(4457, 6154)",2,6,True,[4457]
"(5544, 5769)",2,6,True,[5769]
"(4437, 5779)",2,5,True,[4437]
"(2173, 10248)",2,5,True,[2173]
"(10237, 10514)",2,5,True,[10237]
"(2585, 7571)",2,5,True,[2585]
"(11273, 11765)",2,5,True,[11765]
"(2320, 2819)",2,5,True,[2819]
"(8249, 9236)",2,5,True,[9236]
"(860, 3314)",2,5,True,[860]
"(3823, 7368)",2,5,True,[3823]
"(9414, 11996)",2,5,True,[11996]
"(852, 9511)",2,5,True,[9511]
"(1078, 6179)",2,5,True,[1078]
"(140, 5862, 7919)",3,5,True,[7919]
"(6478, 9915)",2,5,True,[9915]
"(1434, 3368)",2,5,True,[1434]
"(948, 6980)",2,5,True,"[948, 6980]"
"(863, 12576)",2,5,True,[12576]
"(6813, 8660)",2,5,True,[8660]
"(1358, 7400)",2,5,True,[1358]
"(8277, 10139)",2,5,True,[8277]
"(5728, 11053)",2,5,True,[5728]
"(3750, 8394)",2,4,True,[8394]
"(8277, 9349)",2,4,True,[8277]
"(7883, 8048)",2,4,True,[7883]
"(4503, 5663)",2,4,True,[4503]
"(6473, 7208)",2,4,True,[6473]
"(2429, 11459)",2,4,True,[2429]
"(3678, 10790)",2,4,True,"[3678, 10790]"
"(10272, 11308)",2,4,True,[10272]
"(2251, 2883)",2,4,True,[2883]
"(7526, 10848, 12285)",3,4,True,[10848]
"(7524, 9057)",2,4,True,[9057]
"(2704, 6094)",2,4,True,[6094]
"(10933, 12416)",2,4,True,[10933]
"(1531, 4282)",2,4,True,[1531]
"(6772, 9591)",2,4,True,[9591]
"(737, 1337)",2,4,True,[1337]
"(6251, 9730)",2,4,True,[6251]
"(10595, 12422)",2,4,True,[10595]
"(6102, 6699)",2,4,True,[6102]
"(2883, 2941)",2,4,True,[2883]
"(69, 3449)",2,4,True,[3449]
"(5400, 6725)",2,4,True,"[5400, 6725]"
"(10185, 11191)",2,4,True,"[10185, 11191]"
