Composition,Frequency,Novel_Family_ID,Known_System_Function
"(365, 398)",24,[398],Fam365=AbiEii__AbiEii
"(245, 408)",21,[408],Fam245=AbiEii__AbiEii
"(243, 353)",9,[353],Fam243=AbiEii__AbiEii
"(368, 406)",8,[406],Fam368=AbiEii__AbiEii
"(157, 401)",7,[401],Fam157=AbiEii__AbiEii
"(201, 334)",7,[334],Fam201=AbiEii__AbiEii
"(303, 352)",7,[352],Fam303=AbiEii__AbiEii
"(277, 320)",7,[320],Fam277=AbiEii__AbiEii
"(444, 454)",6,[454],Fam444=BREX__brxF
"(333, 399)",6,[399],Fam333=AbiEii__AbiEii
"(233, 353)",6,[353],Fam233=AbiEii__AbiEii
"(170, 401)",6,[401],Fam170=AbiEii__AbiEii
"(244, 315)",6,[315],Fam244=AbiEii__AbiEii
"(270, 343)",6,[343],Fam270=AbiEii__AbiEii
"(248, 397)",5,[397],Fam248=AbiEii__AbiEii
"(295, 432)",5,[432],Fam295=AbiEii__AbiEii
"(248, 395)",4,[395],Fam248=AbiEii__AbiEii
"(247, 413)",4,[413],Fam247=AbiEii__AbiEii
"(130, 143)",4,[143],Fam130=RM_Type_II__Type_II_REases
"(366, 386)",3,[386],Fam366=AbiEii__AbiEii
"(241, 356)",3,[356],Fam241=AbiEii__AbiEii
"(259, 277)",3,[259],Fam277=AbiEii__AbiEii
"(157, 378)",3,[378],Fam157=AbiEii__AbiEii
"(265, 381)",3,[265],Fam381=AbiEii__AbiEii
"(42, 199)",3,[42],Fam199=PsyrTA__PsyrA
"(202, 387)",3,[387],Fam202=SanaTA__SanaT
"(193, 378)",3,[378],Fam193=AbiEii__AbiEii
"(310, 374)",3,[310],Fam374=AbiEii__AbiEii
"(220, 270)",3,[220],Fam270=AbiEii__AbiEii
"(504, 539)",3,"[504, 539]",Pure_Novel_System
"(58, 61)",3,[61],Fam58=RM_Type_III__Type_III_MTases
"(112, 130)",3,[112],Fam130=RM_Type_II__Type_II_REases
"(284, 347)",2,[347],Fam284=AbiEii__AbiEii
"(101, 453)",2,[101],Fam453=RM_Type_II__Type_II_REases
"(61, 70)",2,[61],Fam70=RM_Type_II__Type_II_MTases
"(153, 230)",2,[153],Fam230=AbiEii__AbiEii
"(357, 417)",2,[417],Fam357=AbiEii__AbiEii
"(171, 298)",2,[171],Fam298=AbiEii__AbiEii
"(214, 273)",2,[214],Fam273=AbiEii__AbiEii
"(191, 382)",2,[382],Fam191=AbiEii__AbiEii
"(302, 348)",2,[348],Fam302=AbiEii__AbiEii
"(221, 433)",2,[433],Fam221=RM_Type_II__Type_II_MTases
"(256, 300)",2,[300],Fam256=AbiEii__AbiEii
"(182, 351)",2,[351],Fam182=SanaTA__SanaT
"(362, 386)",2,[386],Fam362=AbiEii__AbiEii
"(314, 327)",2,[314],Fam327=cas4_I_II_III_IV_V_VI_1
"(494, 522)",2,"[494, 522]",Pure_Novel_System
"(166, 229)",2,[166],Fam229=AbiEii__AbiEii
"(498, 527)",2,[527],Fam498=MazEF__MazF
"(180, 186)",2,[180],Fam186=RM_Type_II__Type_II_MTases
"(208, 415)",2,[415],Fam208=SanaTA__SanaT
"(220, 273)",2,[220],Fam273=AbiEii__AbiEii
"(239, 397)",2,[397],Fam239=AbiEii__AbiEii
"(267, 350)",2,[350],Fam267=AbiEii__AbiEii
"(308, 397)",2,[397],Fam308=AbiEii__AbiEii
"(492, 526)",2,[526],Fam492=MazEF__MazF
"(207, 427)",2,[427],Fam207=AbiEii__AbiEii
"(251, 356)",2,[356],Fam251=AbiEii__AbiEii
"(18, 71)",2,[18],Fam71=RM_Type_II__Type_II_MTases
"(246, 418)",2,[418],Fam246=AbiEii__AbiEii
"(493, 530)",2,[530],Fam493=MazEF__MazF
"(29, 276)",2,[276],Fam29=Mokosh_type_I__MkoA_D
"(265, 368)",2,[265],Fam368=AbiEii__AbiEii
"(495, 533)",2,[533],Fam495=MazEF__MazF
"(25, 33)",2,[33],Fam25=RM_Type_III__Type_III_REases
