Composition,Frequency,Novel_Family_ID,Known_System_Function
"(6797, 8664)",164,[6797],Fam8664=Zorya__ZorB
"(3058, 5202)",151,[5202],Fam3058=Wadjet__JetA_III
"(11413, 11852)",100,[11413],Fam11852=PfiAT__PfiA
"(5407, 6549)",76,[5407],Fam6549=Zorya__ZorB
"(6565, 7498)",62,[6565],Fam7498=Wadjet__JetB_I
"(3367, 5491)",49,[3367],Fam5491=Zorya__ZorB
"(2672, 8789)",48,[2672],Fam8789=Zorya__ZorB
"(5501, 6779)",44,[6779],Fam5501=Zorya__ZorB
"(6797, 8199)",44,[6797],Fam8199=Zorya__ZorB
"(985, 5305)",41,[985],Fam5305=PsyrTA__PsyrA
"(7207, 9837)",40,[9837],Fam7207=AbiEii__AbiEii
"(7207, 8534)",31,[8534],Fam7207=AbiEii__AbiEii
"(1037, 3760)",31,[3760],Fam1037=Wadjet__JetC_III
"(557, 4748)",31,[4748],Fam557=Wadjet__JetC_III
"(12012, 12327)",31,[12012],Fam12327=PfiAT__PfiA
"(1098, 3104)",30,[3104],Fam1098=Wadjet__JetC_III
"(2672, 9366)",30,[2672],Fam9366=Zorya__ZorB
"(1037, 3104)",27,[3104],Fam1037=Wadjet__JetC_III
"(3249, 5668)",27,[3249],Fam5668=Zorya__ZorB
"(1396, 5305)",27,[1396],Fam5305=PsyrTA__PsyrA
"(1284, 5265)",26,[5265],Fam1284=Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II
"(993, 8693)",25,[8693],Fam993=Zorya__ZorA
"(688, 4037)",22,[688],Fam4037=SEFIR__bSEFIR
"(802, 4145)",21,[4145],Fam802=Zorya__ZorB
"(8854, 10091)",21,[10091],Fam8854=AbiEii__AbiEii
"(7969, 9430)",21,[9430],Fam7969=AbiEii__AbiEii
"(1037, 3510)",21,[3510],Fam1037=Wadjet__JetC_III
"(8637, 10067)",20,[10067],Fam8637=AbiEii__AbiEii
"(5804, 7368)",18,[5804],Fam7368=AbiEii__AbiEii
"(3367, 6009)",18,[3367],Fam6009=Zorya__ZorB
"(929, 3104)",18,[3104],Fam929=Wadjet__JetC_III
"(7207, 9438)",17,[9438],Fam7207=AbiEii__AbiEii
"(3383, 5491)",17,[3383],Fam5491=Zorya__ZorB
"(7686, 10315)",17,[10315],Fam7686=AbiEii__AbiEii
"(1191, 7530)",16,[1191],Fam7530=Zorya__ZorB
"(3975, 6244)",16,[3975],Fam6244=Zorya__ZorB
"(12090, 12327)",16,[12090],Fam12327=PfiAT__PfiA
"(6821, 9522)",15,[9522],Fam6821=RM_Type_II__Type_II_MTases
"(11438, 11852)",15,[11438],Fam11852=PfiAT__PfiA
"(12047, 12206)",15,[12047],Fam12206=PfiAT__PfiA
"(6069, 7456)",15,[7456],Fam6069=AbiEii__AbiEii
"(2911, 5668)",15,[2911],Fam5668=Zorya__ZorB
"(11335, 12057)",15,[12057],Fam11335=PfiAT__PfiA
"(2189, 7103)",15,[7103],Fam2189=RM_Type_II__Type_II_REases
"(953, 2050)",15,[2050],Fam953=RM_Type_III__Type_III_REases
"(677, 4748)",14,[4748],Fam677=Wadjet__JetC_III
"(213, 3705)",14,[213],Fam3705=Zorya__ZorA
"(5471, 5481)",14,[5471],Fam5481=Dpd__DpdB
"(4188, 4231)",14,[4231],Fam4188=Eleos__LeoA
"(11378, 12446)",14,[11378],Fam12446=PfiAT__PfiA
"(4297, 5833)",13,"[4297, 5833]",Pure_Novel_System
"(4757, 7751)",12,[4757],Fam7751=AbiEii__AbiEii
"(9899, 10259)",12,[10259],Fam9899=AbiEii__AbiEii
"(4809, 9707)",12,[9707],Fam4809=AbiEii__AbiEii
"(12026, 12336)",12,[12026],Fam12336=PfiAT__PfiA
"(6642, 6644)",12,"[6642, 6644]",Pure_Novel_System
"(12092, 12321)",11,[12092],Fam12321=PfiAT__PfiA
"(1657, 7108)",11,[1657],Fam7108=Hachiman__HamA_2
"(3062, 9475)",11,[3062],Fam9475=Zorya__ZorB
"(8275, 9404)",11,[9404],Fam8275=AbiEii__AbiEii
"(3113, 4284)",11,[3113],Fam4284=RM_Type_IV__Type_IV_REases
"(4275, 9907)",10,[4275],Fam9907=Zorya__ZorB
"(1018, 2001)",10,"[1018, 2001]",Pure_Novel_System
"(2708, 10852)",10,[2708],Fam10852=CBASS__2TM_5
"(6783, 10200)",10,[6783],Fam10200=ShosTA__ShosT
"(4087, 5181)",9,[4087],Fam5181=Wadjet__JetB_I
"(8671, 10288)",9,"[8671, 10288]",Pure_Novel_System
"(2672, 6009)",9,[2672],Fam6009=Zorya__ZorB
"(6797, 9361)",9,[6797],Fam9361=Zorya__ZorB
"(3880, 5985)",9,[5985],Fam3880=RM_Type_II__Type_II_MTases
"(7512, 9927)",9,[9927],Fam7512=AbiEii__AbiEii
"(8627, 9874)",9,[9874],Fam8627=AbiEii__AbiEii
"(5308, 6153)",9,[5308],Fam6153=AbiEii__AbiEi_3
"(7955, 9930)",9,[9930],Fam7955=AbiEii__AbiEii
"(11335, 11387)",9,[11387],Fam11335=PfiAT__PfiA
"(11335, 11991)",9,[11991],Fam11335=PfiAT__PfiA
"(7684, 8367)",9,[8367],Fam7684=AbiEii__AbiEii
"(2003, 4664)",9,"[2003, 4664]",Pure_Novel_System
"(3383, 4955)",8,[3383],Fam4955=Zorya__ZorB
"(8273, 9482)",8,[9482],Fam8273=AbiEii__AbiEii
"(1284, 5265, 10656)",8,[5265],Fam1284=Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II; Fam10656=Wadjet__JetB_I
"(3474, 5726)",8,[3474],Fam5726=Zorya__ZorB
"(9134, 10375)",8,[10375],Fam9134=AbiEii__AbiEii
"(8273, 9937)",8,[9937],Fam8273=AbiEii__AbiEii
"(6955, 8796)",8,[8796],Fam6955=PsyrTA__PsyrA
"(8488, 9482)",8,[9482],Fam8488=AbiEii__AbiEii
"(8213, 9956)",8,[9956],Fam8213=AbiEii__AbiEii
"(4735, 9440)",8,[9440],Fam4735=AbiEii__AbiEii
"(2390, 5518)",8,[2390],Fam5518=CBASS__Phospholipase
"(2767, 11558)",8,[11558],Fam2767=PD-T7-2__PD-T7-2_B
"(2577, 5664)",7,[5664],Fam2577=CBASS__TRIP13
"(3487, 6575)",7,[6575],Fam3487=Wadjet__JetB_I
"(1708, 1936)",7,[1708],Fam1936=RM_Type_IV__Type_IV_REases
"(7552, 8664)",7,[7552],Fam8664=Zorya__ZorB
"(7644, 8952)",7,"[7644, 8952]",Pure_Novel_System
"(9042, 10430)",7,[10430],Fam9042=AbiEii__AbiEii
"(1552, 8010)",7,[8010],Fam1552=Zorya__ZorA
"(11335, 12014)",7,[12014],Fam11335=PfiAT__PfiA
"(11972, 11978)",7,[11978],Fam11972=PfiAT__PfiT
