cluster_id,cluster_type,genome_id,file_name,gene_name,start_position,end_position,gene_type,system_size,candidate_count,multi_label,binary_confidence
2019_bqzb-2_bin.36.purify_k141_60093_5673-7541,PURE_CANDIDATE,2019_bqzb-2_bin.36.purify_k141_60093,2019_bqzb-2_bin.36.purify.fasta,2019_bqzb-2_bin.36.purify_k141_60093_10,5673,6491,known_defense,2,1,other,0.9593873023986816
2019_bqzb-2_bin.36.purify_k141_60093_5673-7541,PURE_CANDIDATE,2019_bqzb-2_bin.36.purify_k141_60093,2019_bqzb-2_bin.36.purify.fasta,2019_bqzb-2_bin.36.purify_k141_60093_11,6549,7541,candidate,2,1,other,0.9942933320999146
2019_bqzb-3_bin.20.purify_k141_352613_2624-3719,PURE_CANDIDATE,2019_bqzb-3_bin.20.purify_k141_352613,2019_bqzb-3_bin.20.purify.fasta,2019_bqzb-3_bin.20.purify_k141_352613_4,2624,2938,candidate,2,2,other,0.9996060729026794
2019_bqzb-3_bin.20.purify_k141_352613_2624-3719,PURE_CANDIDATE,2019_bqzb-3_bin.20.purify_k141_352613,2019_bqzb-3_bin.20.purify.fasta,2019_bqzb-3_bin.20.purify_k141_352613_5,2943,3719,candidate,2,2,other,0.9999829530715942
2019_bqzb-3_bin.33.purify_k141_154354_3866-4868,PURE_CANDIDATE,2019_bqzb-3_bin.33.purify_k141_154354,2019_bqzb-3_bin.33.purify.fasta,2019_bqzb-3_bin.33.purify_k141_154354_5,3866,4435,candidate,2,2,other,0.9964373111724854
2019_bqzb-3_bin.33.purify_k141_154354_3866-4868,PURE_CANDIDATE,2019_bqzb-3_bin.33.purify_k141_154354,2019_bqzb-3_bin.33.purify.fasta,2019_bqzb-3_bin.33.purify_k141_154354_6,4452,4868,candidate,2,2,other,0.9915757775306702
2019_bqzb-3_bin.26.purify_k141_339112_9971-10566,PURE_CANDIDATE,2019_bqzb-3_bin.26.purify_k141_339112,2019_bqzb-3_bin.26.purify.fasta,2019_bqzb-3_bin.26.purify_k141_339112_8,9971,10303,candidate,2,2,other,0.9987099170684814
2019_bqzb-3_bin.26.purify_k141_339112_9971-10566,PURE_CANDIDATE,2019_bqzb-3_bin.26.purify_k141_339112,2019_bqzb-3_bin.26.purify.fasta,2019_bqzb-3_bin.26.purify_k141_339112_9,10306,10566,candidate,2,2,other,0.9997294545173644
2019_bqzb-3_bin.32.purify_k141_29750_4802-6428,PURE_CANDIDATE,2019_bqzb-3_bin.32.purify_k141_29750,2019_bqzb-3_bin.32.purify.fasta,2019_bqzb-3_bin.32.purify_k141_29750_6,4802,5209,candidate,2,1,other,0.9997921586036682
2019_bqzb-3_bin.32.purify_k141_29750_4802-6428,PURE_CANDIDATE,2019_bqzb-3_bin.32.purify_k141_29750,2019_bqzb-3_bin.32.purify.fasta,2019_bqzb-3_bin.32.purify_k141_29750_8,5715,6428,known_defense,2,1,other,0.9846962690353394
2019_bqzb-3_bin.23.purify_k141_87354_1-1021,PURE_CANDIDATE,2019_bqzb-3_bin.23.purify_k141_87354,2019_bqzb-3_bin.23.purify.fasta,2019_bqzb-3_bin.23.purify_k141_87354_1,1,138,known_defense,2,1,other,0.6634991765022278
2019_bqzb-3_bin.23.purify_k141_87354_1-1021,PURE_CANDIDATE,2019_bqzb-3_bin.23.purify_k141_87354,2019_bqzb-3_bin.23.purify.fasta,2019_bqzb-3_bin.23.purify_k141_87354_2,164,1021,candidate,2,1,other,0.9997603297233582
2019_bqzb-4_bin.34.purify_k141_46118_34314-34903,HYBRID,2019_bqzb-4_bin.34.purify_k141_46118,2019_bqzb-4_bin.34.purify.fasta,2019_bqzb-4_bin.34.purify_k141_46118_35,34314,34556,candidate,2,1,other,0.9999958276748656
