Architecture,Frequency,Novel_Families,Genome,Cluster_ID,Gene_Context
"(3447, 8227)",36,[3447],2020_BGBMC-20W-1-10m-1_bin.61.purify_k141_30711,2020_BGBMC-20W-1-10m-1_bin.61.purify_k141_30711_14392-16366,2020_BGBMC-20W-1-10m-1_bin.61.purify_k141_30711_22(Fam_8227 [★Target]) --> 2020_BGBMC-20W-1-10m-1_bin.61.purify_k141_30711_23(Fam_3447 [★Target])
"(3447, 8227)",36,[3447],2020_BGBMC-20W-1-5m-1_bin.75.purify_k141_30470,2020_BGBMC-20W-1-5m-1_bin.75.purify_k141_30470_11207-13181,2020_BGBMC-20W-1-5m-1_bin.75.purify_k141_30470_17(Fam_8227 [★Target]) --> 2020_BGBMC-20W-1-5m-1_bin.75.purify_k141_30470_18(Fam_3447 [★Target])
"(3447, 8227)",36,[3447],2020_GHH17-W1_bin.117.purify_k141_962986,2020_GHH17-W1_bin.117.purify_k141_962986_5999-7973,2020_GHH17-W1_bin.117.purify_k141_962986_9(Fam_8227 [★Target]) --> 2020_GHH17-W1_bin.117.purify_k141_962986_10(Fam_3447 [★Target])
"(3447, 8227)",36,[3447],2020_GMZ11-W1_bin.214.purify_k141_1201689,2020_GMZ11-W1_bin.214.purify_k141_1201689_10919-12893,2020_GMZ11-W1_bin.214.purify_k141_1201689_17(Fam_8227 [★Target]) --> 2020_GMZ11-W1_bin.214.purify_k141_1201689_18(Fam_3447 [★Target])
"(3447, 8227)",36,[3447],2020_GMZ13-W1_bin.138.purify_k141_477822,2020_GMZ13-W1_bin.138.purify_k141_477822_10924-12898,2020_GMZ13-W1_bin.138.purify_k141_477822_17(Fam_8227 [★Target]) --> 2020_GMZ13-W1_bin.138.purify_k141_477822_18(Fam_3447 [★Target])
"(5284, 6902)",25,[5284],2020_GHH17-W1_bin.20.purify_k141_353850,2020_GHH17-W1_bin.20.purify_k141_353850_1429-3341,2020_GHH17-W1_bin.20.purify_k141_353850_3(Fam_6902 [★Target]) --> 2020_GHH17-W1_bin.20.purify_k141_353850_4(Fam_5284 [★Target])
"(5284, 6902)",25,[5284],2020_GH-W1_bin.85.purify_k141_351939,2020_GH-W1_bin.85.purify_k141_351939_1880-3792,2020_GH-W1_bin.85.purify_k141_351939_4(Fam_6902 [★Target]) --> 2020_GH-W1_bin.85.purify_k141_351939_5(Fam_5284 [★Target])
"(5284, 6902)",25,[5284],2020_GMZ11-W1_bin.67.purify_k141_552184,2020_GMZ11-W1_bin.67.purify_k141_552184_8517-10429,2020_GMZ11-W1_bin.67.purify_k141_552184_7(Fam_6902 [★Target]) --> 2020_GMZ11-W1_bin.67.purify_k141_552184_8(Fam_5284 [★Target])
"(5284, 6902)",25,[5284],2020_GMZ12-W1_bin.14.purify_k141_1071968,2020_GMZ12-W1_bin.14.purify_k141_1071968_3702-5614,2020_GMZ12-W1_bin.14.purify_k141_1071968_5(Fam_6902 [★Target]) --> 2020_GMZ12-W1_bin.14.purify_k141_1071968_6(Fam_5284 [★Target])
"(5284, 6902)",25,[5284],2020_GMZ13-W1_bin.110.purify_k141_1205447,2020_GMZ13-W1_bin.110.purify_k141_1205447_3595-5507,2020_GMZ13-W1_bin.110.purify_k141_1205447_4(Fam_5284 [★Target]) --> 2020_GMZ13-W1_bin.110.purify_k141_1205447_5(Fam_6902 [★Target])
"(2072, 4371)",24,[2072],2019_TBYHW-1_bin.70.purify_k141_97674,2019_TBYHW-1_bin.70.purify_k141_97674_12035-14936,2019_TBYHW-1_bin.70.purify_k141_97674_13(Fam_2072 [★Target]) --> 2019_TBYHW-1_bin.70.purify_k141_97674_14(Fam_4371 [★Target])
"(2072, 4371)",24,[2072],2020_BGBMC-20W-2-1_bin.102.purify_k141_156965,2020_BGBMC-20W-2-1_bin.102.purify_k141_156965_3354-6255,2020_BGBMC-20W-2-1_bin.102.purify_k141_156965_2(Fam_4371 [★Target]) --> 2020_BGBMC-20W-2-1_bin.102.purify_k141_156965_3(Fam_2072 [★Target])
"(2072, 4371)",24,[2072],2020_CE-D-W-1_bin.147.purify_k141_283321,2020_CE-D-W-1_bin.147.purify_k141_283321_11783-14684,2020_CE-D-W-1_bin.147.purify_k141_283321_12(Fam_2072 [★Target]) --> 2020_CE-D-W-1_bin.147.purify_k141_283321_13(Fam_4371 [★Target])
"(2072, 4371)",24,[2072],2020_GMZ11-W1_bin.245.purify_k141_397878,2020_GMZ11-W1_bin.245.purify_k141_397878_12560-15476,2020_GMZ11-W1_bin.245.purify_k141_397878_14(Fam_2072 [★Target]) --> 2020_GMZ11-W1_bin.245.purify_k141_397878_15(Fam_4371 [★Target])
"(2072, 4371)",24,[2072],2020_JSW-W1_bin.60.purify_k141_1270217,2020_JSW-W1_bin.60.purify_k141_1270217_6704-9620,2020_JSW-W1_bin.60.purify_k141_1270217_8(Fam_2072 [★Target]) --> 2020_JSW-W1_bin.60.purify_k141_1270217_9(Fam_4371 [★Target])
"(5019, 5048)",22,[5048],2020_JSW-W1_bin.92.purify_k141_528782,2020_JSW-W1_bin.92.purify_k141_528782_1293-3835,2020_JSW-W1_bin.92.purify_k141_528782_3(Fam_5048 [★Target]) --> 2020_JSW-W1_bin.92.purify_k141_528782_4(Fam_5019 [★Target])
"(5019, 5048)",22,[5048],2020_QHH1-W1_bin.52.purify_k141_472886,2020_QHH1-W1_bin.52.purify_k141_472886_6345-8887,2020_QHH1-W1_bin.52.purify_k141_472886_6(Fam_5019 [★Target]) --> 2020_QHH1-W1_bin.52.purify_k141_472886_7(Fam_5048 [★Target])
"(5019, 5048)",22,[5048],2020_QHH2-W1_bin.59.purify_k141_15939,2020_QHH2-W1_bin.59.purify_k141_15939_5070-7612,2020_QHH2-W1_bin.59.purify_k141_15939_5(Fam_5019 [★Target]) --> 2020_QHH2-W1_bin.59.purify_k141_15939_6(Fam_5048 [★Target])
"(5019, 5048)",22,[5048],2020_QHH6-W1_bin.58.purify_k141_433139,2020_QHH6-W1_bin.58.purify_k141_433139_5305-7847,2020_QHH6-W1_bin.58.purify_k141_433139_5(Fam_5019 [★Target]) --> 2020_QHH6-W1_bin.58.purify_k141_433139_6(Fam_5048 [★Target])
"(5019, 5048)",22,[5048],2021-HDW-W1_bin.113.purify_k141_1561249,2021-HDW-W1_bin.113.purify_k141_1561249_5475-8017,2021-HDW-W1_bin.113.purify_k141_1561249_5(Fam_5019 [★Target]) --> 2021-HDW-W1_bin.113.purify_k141_1561249_6(Fam_5048 [★Target])
"(11895, 13344)",20,[13344],2020_CN-DB-w-2_bin.102.purify_k141_348657,2020_CN-DB-w-2_bin.102.purify_k141_348657_1109-1734,2020_CN-DB-w-2_bin.102.purify_k141_348657_2(Fam_11895 [★Target]) --> 2020_CN-DB-w-2_bin.102.purify_k141_348657_3(Fam_13344 [★Target])
"(11895, 13344)",20,[13344],2020_CN-D-w-1_bin.87.purify_k141_311545,2020_CN-D-w-1_bin.87.purify_k141_311545_947-1572,2020_CN-D-w-1_bin.87.purify_k141_311545_2(Fam_11895 [★Target]) --> 2020_CN-D-w-1_bin.87.purify_k141_311545_3(Fam_13344 [★Target])
"(11895, 13344)",20,[13344],2020_CN-N-W-2-0m_bin.145.purify_k141_836010,2020_CN-N-W-2-0m_bin.145.purify_k141_836010_9391-10016,2020_CN-N-W-2-0m_bin.145.purify_k141_836010_12(Fam_13344 [★Target]) --> 2020_CN-N-W-2-0m_bin.145.purify_k141_836010_13(Fam_11895 [★Target])
"(11895, 13344)",20,[13344],2020_CRC-20W-1-10m-1_bin.24.purify_k141_848815,2020_CRC-20W-1-10m-1_bin.24.purify_k141_848815_800-1425,2020_CRC-20W-1-10m-1_bin.24.purify_k141_848815_2(Fam_11895 [★Target]) --> 2020_CRC-20W-1-10m-1_bin.24.purify_k141_848815_3(Fam_13344 [★Target])
"(11895, 13344)",20,[13344],2020_JNYC-20W-1-100m-1_bin.31.purify_k141_420651,2020_JNYC-20W-1-100m-1_bin.31.purify_k141_420651_8771-9384,2020_JNYC-20W-1-100m-1_bin.31.purify_k141_420651_8(Fam_11895 [★Target]) --> 2020_JNYC-20W-1-100m-1_bin.31.purify_k141_420651_9(Fam_13344 [★Target])
"(3023, 8709)",20,[3023],2020_BGBMC-20W-1-5m-1_bin.37.purify_k141_235132,2020_BGBMC-20W-1-5m-1_bin.37.purify_k141_235132_709-2723,2020_BGBMC-20W-1-5m-1_bin.37.purify_k141_235132_2(Fam_8709 [★Target]) --> 2020_BGBMC-20W-1-5m-1_bin.37.purify_k141_235132_3(Fam_3023 [★Target])
"(3023, 8709)",20,[3023],2020_BMC-W-1-1_bin.164.purify_k141_709422,2020_BMC-W-1-1_bin.164.purify_k141_709422_5940-7954,2020_BMC-W-1-1_bin.164.purify_k141_709422_8(Fam_8709 [★Target]) --> 2020_BMC-W-1-1_bin.164.purify_k141_709422_9(Fam_3023 [★Target])
"(3023, 8709)",20,[3023],2020_CE-D-W-2_bin.98.purify_k141_668178,2020_CE-D-W-2_bin.98.purify_k141_668178_5079-7093,2020_CE-D-W-2_bin.98.purify_k141_668178_8(Fam_8709 [★Target]) --> 2020_CE-D-W-2_bin.98.purify_k141_668178_9(Fam_3023 [★Target])
"(3023, 8709)",20,[3023],2020_GHH17-W1_bin.67.purify_k141_208128,2020_GHH17-W1_bin.67.purify_k141_208128_4280-6294,2020_GHH17-W1_bin.67.purify_k141_208128_7(Fam_8709 [★Target]) --> 2020_GHH17-W1_bin.67.purify_k141_208128_8(Fam_3023 [★Target])
"(3023, 8709)",20,[3023],2020_GMZ15-W1_bin.85.purify_k141_861792,2020_GMZ15-W1_bin.85.purify_k141_861792_6965-8979,2020_GMZ15-W1_bin.85.purify_k141_861792_9(Fam_8709 [★Target]) --> 2020_GMZ15-W1_bin.85.purify_k141_861792_10(Fam_3023 [★Target])
"(2223, 6301)",19,[2223],2020_CC-20W-1-15m-1_bin.122.purify_k141_293180,2020_CC-20W-1-15m-1_bin.122.purify_k141_293180_6757-9217,2020_CC-20W-1-15m-1_bin.122.purify_k141_293180_9(Fam_6301 [★Target]) --> 2020_CC-20W-1-15m-1_bin.122.purify_k141_293180_10(Fam_2223 [★Target])
"(2223, 6301)",19,[2223],2020_CC-20W-1-5m-1_bin.134.purify_k141_245264,2020_CC-20W-1-5m-1_bin.134.purify_k141_245264_3149-5609,2020_CC-20W-1-5m-1_bin.134.purify_k141_245264_3(Fam_2223 [★Target]) --> 2020_CC-20W-1-5m-1_bin.134.purify_k141_245264_4(Fam_6301 [★Target])
"(2223, 6301)",19,[2223],2020_CN-DB-w-2_bin.80.purify_k141_660452,2020_CN-DB-w-2_bin.80.purify_k141_660452_1633-4093,2020_CN-DB-w-2_bin.80.purify_k141_660452_5(Fam_6301 [★Target]) --> 2020_CN-DB-w-2_bin.80.purify_k141_660452_6(Fam_2223 [★Target])
"(2223, 6301)",19,[2223],2020_CN-N-W-3_bin.99.purify_k141_376468,2020_CN-N-W-3_bin.99.purify_k141_376468_7142-9659,2020_CN-N-W-3_bin.99.purify_k141_376468_9(Fam_6301 [★Target]) --> 2020_CN-N-W-3_bin.99.purify_k141_376468_10(Fam_2223 [★Target])
"(2223, 6301)",19,[2223],2020_CRC-20W-1-0m-1_bin.72.purify_k141_75400,2020_CRC-20W-1-0m-1_bin.72.purify_k141_75400_5036-7506,2020_CRC-20W-1-0m-1_bin.72.purify_k141_75400_7(Fam_6301 [★Target]) --> 2020_CRC-20W-1-0m-1_bin.72.purify_k141_75400_8(Fam_2223 [★Target])
"(585, 2558, 3491)",17,[2558],2020_BGBMC-20W-3-1_bin.37.purify_k141_716958,2020_BGBMC-20W-3-1_bin.37.purify_k141_716958_16261-21772,2020_BGBMC-20W-3-1_bin.37.purify_k141_716958_16(Fam_3491 [★Target]) --> 2020_BGBMC-20W-3-1_bin.37.purify_k141_716958_17(Fam_2558 [★Target]) --> 2020_BGBMC-20W-3-1_bin.37.purify_k141_716958_18(Fam_585 [★Target])
"(585, 2558, 3491)",17,[2558],2020_CE-20W-1-0m-1_bin.123.purify_k141_711850,2020_CE-20W-1-0m-1_bin.123.purify_k141_711850_84421-90477,2020_CE-20W-1-0m-1_bin.123.purify_k141_711850_74(Fam_3491 [★Target]) --> 2020_CE-20W-1-0m-1_bin.123.purify_k141_711850_76(Fam_2558 [★Target]) --> 2020_CE-20W-1-0m-1_bin.123.purify_k141_711850_77(Fam_585 [★Target])
"(585, 2558, 3491)",17,[2558],2020_CE-20W-1-2.5m-1_bin.128.purify_k141_719030,2020_CE-20W-1-2.5m-1_bin.128.purify_k141_719030_84421-90477,2020_CE-20W-1-2.5m-1_bin.128.purify_k141_719030_74(Fam_3491 [★Target]) --> 2020_CE-20W-1-2.5m-1_bin.128.purify_k141_719030_76(Fam_2558 [★Target]) --> 2020_CE-20W-1-2.5m-1_bin.128.purify_k141_719030_77(Fam_585 [★Target])
"(585, 2558, 3491)",17,[2558],2020_CE-20W-2-1_bin.227.purify_k141_525487,2020_CE-20W-2-1_bin.227.purify_k141_525487_84421-90477,2020_CE-20W-2-1_bin.227.purify_k141_525487_74(Fam_3491 [★Target]) --> 2020_CE-20W-2-1_bin.227.purify_k141_525487_76(Fam_2558 [★Target]) --> 2020_CE-20W-2-1_bin.227.purify_k141_525487_77(Fam_585 [★Target])
"(585, 2558, 3491)",17,[2558],2020_CE-B-W-1_bin.83.purify_k141_830626,2020_CE-B-W-1_bin.83.purify_k141_830626_84421-90477,2020_CE-B-W-1_bin.83.purify_k141_830626_74(Fam_3491 [★Target]) --> 2020_CE-B-W-1_bin.83.purify_k141_830626_76(Fam_2558 [★Target]) --> 2020_CE-B-W-1_bin.83.purify_k141_830626_77(Fam_585 [★Target])
"(13228, 13850)",17,[13228],2020_GMZ13-W1_bin.75.purify_k141_2730366,2020_GMZ13-W1_bin.75.purify_k141_2730366_4044-4889,2020_GMZ13-W1_bin.75.purify_k141_2730366_6(Fam_13228 [★Target]) --> 2020_GMZ13-W1_bin.75.purify_k141_2730366_7(Fam_13850 [★Target])
"(13228, 13850)",17,[13228],2020_GMZ-9-w1_bin.13.purify_k141_126679,2020_GMZ-9-w1_bin.13.purify_k141_126679_5598-6440,2020_GMZ-9-w1_bin.13.purify_k141_126679_5(Fam_13850 [★Target]) --> 2020_GMZ-9-w1_bin.13.purify_k141_126679_6(Fam_13228 [★Target])
"(13228, 13850)",17,[13228],2020_JSW-W1_bin.107.purify_k141_313149,2020_JSW-W1_bin.107.purify_k141_313149_2784-3626,2020_JSW-W1_bin.107.purify_k141_313149_5(Fam_13228 [★Target]) --> 2020_JSW-W1_bin.107.purify_k141_313149_6(Fam_13850 [★Target])
"(13228, 13850)",17,[13228],2020_QHH12-W1_bin.95.purify_k141_61701,2020_QHH12-W1_bin.95.purify_k141_61701_9245-10090,2020_QHH12-W1_bin.95.purify_k141_61701_7(Fam_13850 [★Target]) --> 2020_QHH12-W1_bin.95.purify_k141_61701_8(Fam_13228 [★Target])
"(13228, 13850)",17,[13228],2020_QHH19-W1_bin.72.purify_k141_623394,2020_QHH19-W1_bin.72.purify_k141_623394_2784-3626,2020_QHH19-W1_bin.72.purify_k141_623394_5(Fam_13228 [★Target]) --> 2020_QHH19-W1_bin.72.purify_k141_623394_6(Fam_13850 [★Target])
"(678, 1868)",17,[1868],2020_CE-N-W-1_bin.43.purify_k141_519053,2020_CE-N-W-1_bin.43.purify_k141_519053_10761-14927,2020_CE-N-W-1_bin.43.purify_k141_519053_9(Fam_678 [★Target]) --> 2020_CE-N-W-1_bin.43.purify_k141_519053_10(Fam_1868 [★Target])
"(678, 1868)",17,[1868],2020_CE-X-W-1_bin.86.purify_k141_319744,2020_CE-X-W-1_bin.86.purify_k141_319744_61107-65188,2020_CE-X-W-1_bin.86.purify_k141_319744_49(Fam_678 [★Target]) --> 2020_CE-X-W-1_bin.86.purify_k141_319744_50(Fam_1868 [★Target])
"(678, 1868)",17,[1868],2020_CRC-20W-1-0m-1_bin.164.purify_k141_292843,2020_CRC-20W-1-0m-1_bin.164.purify_k141_292843_29367-33557,2020_CRC-20W-1-0m-1_bin.164.purify_k141_292843_24(Fam_1868 [★Target]) --> 2020_CRC-20W-1-0m-1_bin.164.purify_k141_292843_25(Fam_678 [★Target])
