gene_name,multi_label,binary_label,binary_confidence,file_name,batch_idx
NZ_CP009512.1_80,RM_Type_IV__Type_IV_REases,defense,0.9999678,RS_GCF_000970205.1_protein_labels.pkl,2
NZ_CP009512.1_283,other,defense,0.9982278,RS_GCF_000970205.1_protein_labels.pkl,8
NZ_CP009512.1_469,other,defense,0.9967417,RS_GCF_000970205.1_protein_labels.pkl,14
NZ_CP009512.1_507,RnlAB__RnlB,defense,0.9979127,RS_GCF_000970205.1_protein_labels.pkl,15
NZ_CP009512.1_577,RM__Type_I_S,defense,0.9987004,RS_GCF_000970205.1_protein_labels.pkl,18
NZ_CP009512.1_638,RnlAB__RnlB,defense,0.99708337,RS_GCF_000970205.1_protein_labels.pkl,19
NZ_CP009512.1_691,RnlAB__RnlB,defense,0.99905556,RS_GCF_000970205.1_protein_labels.pkl,21
NZ_CP009512.1_786,cas4_I_II_III_IV_V_VI_1,defense,0.99005824,RS_GCF_000970205.1_protein_labels.pkl,24
NZ_CP009512.1_916,RM__Type_I_REases,defense,0.9998473,RS_GCF_000970205.1_protein_labels.pkl,28
NZ_CP009512.1_917,RM__Type_I_S,defense,0.99973565,RS_GCF_000970205.1_protein_labels.pkl,28
NZ_CP009512.1_918,RM__Type_I_MTases,defense,0.9998615,RS_GCF_000970205.1_protein_labels.pkl,28
NZ_CP009512.1_1152,other,defense,0.9941214,RS_GCF_000970205.1_protein_labels.pkl,35
NZ_CP009512.1_1216,Wadjet__JetC_III,defense,0.999997,RS_GCF_000970205.1_protein_labels.pkl,37
NZ_CP009512.1_1343,cas2_I_II_III_IV_V_VI_4,defense,0.99507767,RS_GCF_000970205.1_protein_labels.pkl,41
NZ_CP009512.1_1532,cas1_I_II_III_IV_V_VI_10,defense,0.99968576,RS_GCF_000970205.1_protein_labels.pkl,47
NZ_CP009512.1_1640,RM__Type_I_MTases,defense,0.9982528,RS_GCF_000970205.1_protein_labels.pkl,51
NZ_CP009512.1_1645,RM__Type_I_S,defense,0.9989825,RS_GCF_000970205.1_protein_labels.pkl,51
NZ_CP009512.1_1646,RM__Type_I_REases,defense,0.99978,RS_GCF_000970205.1_protein_labels.pkl,51
NZ_CP009512.1_1817,RM__Type_I_MTases,defense,0.9980488,RS_GCF_000970205.1_protein_labels.pkl,56
NZ_CP009512.1_1823,RM__Type_I_S,defense,0.99158,RS_GCF_000970205.1_protein_labels.pkl,56
NZ_CP009512.1_1894,other,defense,0.990211,RS_GCF_000970205.1_protein_labels.pkl,59
NZ_CP009512.1_2014,other,defense,0.996415,RS_GCF_000970205.1_protein_labels.pkl,62
NZ_CP009512.1_2111,RM__Type_I_MTases,defense,0.9997452,RS_GCF_000970205.1_protein_labels.pkl,65
NZ_CP009512.1_2112,RM__Type_I_S,defense,0.99958354,RS_GCF_000970205.1_protein_labels.pkl,65
NZ_CP009512.1_2118,RM__Type_I_REases,defense,0.9997813,RS_GCF_000970205.1_protein_labels.pkl,66
NZ_CP009512.1_2147,RM__Type_I_REases,defense,0.99812347,RS_GCF_000970205.1_protein_labels.pkl,67
NZ_CP009512.1_2148,RM__Type_I_MTases,defense,0.995815,RS_GCF_000970205.1_protein_labels.pkl,67
NZ_CP009512.1_2149,RM__Type_I_S,defense,0.99210346,RS_GCF_000970205.1_protein_labels.pkl,67
NZ_CP009512.1_2177,RnlAB__RnlB,defense,0.9967951,RS_GCF_000970205.1_protein_labels.pkl,68
