Architecture,Frequency,Novel_Families,Genome,Cluster_ID,Gene_Context
"(11122, 12566)",30,[12566],202104TB-W29-N1_bin.136.purify_k141_953906,202104TB-W29-N1_bin.136.purify_k141_953906_1267-1811,202104TB-W29-N1_bin.136.purify_k141_953906_2(Fam_12566 [★Target]) --> 202104TB-W29-N1_bin.136.purify_k141_953906_3(Fam_11122 [★Target])
"(11122, 12566)",30,[12566],202104TB-W31-N1_bin.122.purify_k141_272545,202104TB-W31-N1_bin.122.purify_k141_272545_3197-3741,202104TB-W31-N1_bin.122.purify_k141_272545_5(Fam_12566 [★Target]) --> 202104TB-W31-N1_bin.122.purify_k141_272545_6(Fam_11122 [★Target])
"(11122, 12566)",30,[12566],202104TB-W31-N1_bin.78.purify_k141_1349795,202104TB-W31-N1_bin.78.purify_k141_1349795_13431-13974,202104TB-W31-N1_bin.78.purify_k141_1349795_12(Fam_12566 [★Target]) --> 202104TB-W31-N1_bin.78.purify_k141_1349795_13(Fam_11122 [★Target])
"(11122, 12566)",30,[12566],202104TB-W33-N1_bin.111.purify_k141_1294739,202104TB-W33-N1_bin.111.purify_k141_1294739_1537-2081,202104TB-W33-N1_bin.111.purify_k141_1294739_3(Fam_12566 [★Target]) --> 202104TB-W33-N1_bin.111.purify_k141_1294739_4(Fam_11122 [★Target])
"(11122, 12566)",30,[12566],202104TB-W37-N1_bin.50.purify_k141_1042649,202104TB-W37-N1_bin.50.purify_k141_1042649_408-952,202104TB-W37-N1_bin.50.purify_k141_1042649_2(Fam_12566 [★Target]) --> 202104TB-W37-N1_bin.50.purify_k141_1042649_3(Fam_11122 [★Target])
"(2465, 5923)",14,[2465],202106QH-W18-N1_bin.231.purify_k141_5686228,202106QH-W18-N1_bin.231.purify_k141_5686228_3324-5536,202106QH-W18-N1_bin.231.purify_k141_5686228_6(Fam_5923 [★Target]) --> 202106QH-W18-N1_bin.231.purify_k141_5686228_7(Fam_2465 [★Target])
"(2465, 5923)",14,[2465],202106QH-W19-N1_bin.97.purify_k141_467811,202106QH-W19-N1_bin.97.purify_k141_467811_4001-6213,202106QH-W19-N1_bin.97.purify_k141_467811_6(Fam_5923 [★Target]) --> 202106QH-W19-N1_bin.97.purify_k141_467811_7(Fam_2465 [★Target])
"(2465, 5923)",14,[2465],202106QH-W28-N1_bin.11.purify_k141_1515139,202106QH-W28-N1_bin.11.purify_k141_1515139_4001-6213,202106QH-W28-N1_bin.11.purify_k141_1515139_6(Fam_5923 [★Target]) --> 202106QH-W28-N1_bin.11.purify_k141_1515139_7(Fam_2465 [★Target])
"(2465, 5923)",14,[2465],202106QH-W29-N1_bin.129.purify_k141_712328,202106QH-W29-N1_bin.129.purify_k141_712328_2492-4704,202106QH-W29-N1_bin.129.purify_k141_712328_4(Fam_2465 [★Target]) --> 202106QH-W29-N1_bin.129.purify_k141_712328_5(Fam_5923 [★Target])
"(2465, 5923)",14,[2465],202106QH-W30-N1_bin.78.purify_k141_1372783,202106QH-W30-N1_bin.78.purify_k141_1372783_2743-4904,202106QH-W30-N1_bin.78.purify_k141_1372783_5(Fam_2465 [★Target]) --> 202106QH-W30-N1_bin.78.purify_k141_1372783_6(Fam_5923 [★Target])
