homology_cluster_id,gene_name,gene_type,genome_id,physical_cluster_id
1,202106QH-W30-N1_bin.59.purify_k141_198146_7,known_defense,202106QH-W30-N1_bin.59.purify_k141_198146,202106QH-W30-N1_bin.59.purify_k141_198146_4645-5603
1,JC-20S-3-N1_bin.143.purify_k141_888592_1,candidate,JC-20S-3-N1_bin.143.purify_k141_888592,JC-20S-3-N1_bin.143.purify_k141_888592_3-1535
1,KMC-20S-1-N1_bin.147.purify_k141_857385_3,candidate,KMC-20S-1-N1_bin.147.purify_k141_857385,KMC-20S-1-N1_bin.147.purify_k141_857385_1364-11712
1,NMC-S-4-N1_bin.16.purify_k141_1726992_1,known_defense,NMC-S-4-N1_bin.16.purify_k141_1726992,NMC-S-4-N1_bin.16.purify_k141_1726992_3-1066
1,NMC-S-6-N1_bin.176.purify_k141_2324067_14,candidate,NMC-S-6-N1_bin.176.purify_k141_2324067,NMC-S-6-N1_bin.176.purify_k141_2324067_14115-14509
1,ZJ-S-05.4m-N1_bin.175.purify_k141_680865_1,candidate,ZJ-S-05.4m-N1_bin.175.purify_k141_680865,ZJ-S-05.4m-N1_bin.175.purify_k141_680865_2-584
2,CC-20S-1-N1_bin.27.purify_k141_1474679_1,known_defense,CC-20S-1-N1_bin.27.purify_k141_1474679,CC-20S-1-N1_bin.27.purify_k141_1474679_2-1005
2,CN-B-S-N1_bin.33.purify_k141_2718461_2,candidate,CN-B-S-N1_bin.33.purify_k141_2718461,CN-B-S-N1_bin.33.purify_k141_2718461_3-9783
2,CN-S-N1_bin.20.purify_k141_172684_3,candidate,CN-S-N1_bin.20.purify_k141_172684,CN-S-N1_bin.20.purify_k141_172684_4969-16384
2,CRC-20S-1-N1_bin.73.purify_k141_687355_5,candidate,CRC-20S-1-N1_bin.73.purify_k141_687355,CRC-20S-1-N1_bin.73.purify_k141_687355_3390-4142
2,KMC-20S-1-N1_bin.215.purify_k141_3344714_4,known_defense,KMC-20S-1-N1_bin.215.purify_k141_3344714,KMC-20S-1-N1_bin.215.purify_k141_3344714_887-8071
2,PC-20S-1-N1_bin.234.purify_k141_1443672_1,known_defense,PC-20S-1-N1_bin.234.purify_k141_1443672,PC-20S-1-N1_bin.234.purify_k141_1443672_1-323
2,YBJSD-S-3-N1_bin.11.purify_k141_484842_18,candidate,YBJSD-S-3-N1_bin.11.purify_k141_484842,YBJSD-S-3-N1_bin.11.purify_k141_484842_16354-17078
3,QHH10-N1_bin.204.purify_k141_209295_3,candidate,QHH10-N1_bin.204.purify_k141_209295,QHH10-N1_bin.204.purify_k141_209295_267-7948
3,SLC-S-N1_bin.127.purify_k141_66004_2,known_defense,SLC-S-N1_bin.127.purify_k141_66004,SLC-S-N1_bin.127.purify_k141_66004_3-448
4,202009TB-N7_bin.110.purify_k141_919767_6,candidate,202009TB-N7_bin.110.purify_k141_919767,202009TB-N7_bin.110.purify_k141_919767_6115-13050
4,202104TB-W33-N1_bin.116.purify_k141_1056738_1,known_defense,202104TB-W33-N1_bin.116.purify_k141_1056738,202104TB-W33-N1_bin.116.purify_k141_1056738_2-1517
4,BGBMC-20S-3-N1_bin.102.purify_k141_1764604_2,known_defense,BGBMC-20S-3-N1_bin.102.purify_k141_1764604,BGBMC-20S-3-N1_bin.102.purify_k141_1764604_246-7160
4,NMC-S-6-N1_bin.12.purify_k141_538134_4,candidate,NMC-S-6-N1_bin.12.purify_k141_538134,NMC-S-6-N1_bin.12.purify_k141_538134_724-1427
4,PC-20S-1-N1_bin.104.purify_k141_2020002_1,candidate,PC-20S-1-N1_bin.104.purify_k141_2020002,PC-20S-1-N1_bin.104.purify_k141_2020002_2-6658
5,202104TB-W51-N1_bin.156.purify_k141_1585276_4,known_defense,202104TB-W51-N1_bin.156.purify_k141_1585276,202104TB-W51-N1_bin.156.purify_k141_1585276_2199-13452
5,202106QH-W25-N1_bin.5.purify_k141_3008700_1,known_defense,202106QH-W25-N1_bin.5.purify_k141_3008700,202106QH-W25-N1_bin.5.purify_k141_3008700_1-1573
5,NRPC-20S-2-N1_bin.41.purify_k141_90652_5,candidate,NRPC-20S-2-N1_bin.41.purify_k141_90652,NRPC-20S-2-N1_bin.41.purify_k141_90652_1742-2153
5,QHH10-N1_bin.13.purify_k141_801966_5,candidate,QHH10-N1_bin.13.purify_k141_801966,QHH10-N1_bin.13.purify_k141_801966_2985-3733
5,ZJ-S-05.4m-N1_bin.179.purify_k141_1594726_1,known_defense,ZJ-S-05.4m-N1_bin.179.purify_k141_1594726,ZJ-S-05.4m-N1_bin.179.purify_k141_1594726_3-993
5,SLC-S-N1_bin.158.purify_k141_334698_1,candidate,SLC-S-N1_bin.158.purify_k141_334698,SLC-S-N1_bin.158.purify_k141_334698_3-505
6,202104TB-W30-N2_bin.6.purify_k141_662715_71,candidate,202104TB-W30-N2_bin.6.purify_k141_662715,202104TB-W30-N2_bin.6.purify_k141_662715_94774-107982
6,202106QH-W27-N1_bin.288.purify_k141_3137805_1,candidate,202106QH-W27-N1_bin.288.purify_k141_3137805,202106QH-W27-N1_bin.288.purify_k141_3137805_3-433
6,QHH7-N1_bin.74.purify_k141_1426833_1,candidate,QHH7-N1_bin.74.purify_k141_1426833,QHH7-N1_bin.74.purify_k141_1426833_1-323
7,202106QH-W18-N1_bin.134.purify_k141_4637116_5,candidate,202106QH-W18-N1_bin.134.purify_k141_4637116,202106QH-W18-N1_bin.134.purify_k141_4637116_1828-2170
7,202106QH-W27-N1_bin.52.purify_k141_361672_8,candidate,202106QH-W27-N1_bin.52.purify_k141_361672,202106QH-W27-N1_bin.52.purify_k141_361672_3595-4127
7,CE-B-S-2-N1_bin.40.purify_k141_777727_4,candidate,CE-B-S-2-N1_bin.40.purify_k141_777727,CE-B-S-2-N1_bin.40.purify_k141_777727_4639-4961
7,CN-2-4.9m-N1_bin.47.purify_k141_926988_1,candidate,CN-2-4.9m-N1_bin.47.purify_k141_926988,CN-2-4.9m-N1_bin.47.purify_k141_926988_2-456
7,JC-20S-2-N1_bin.61.purify_k141_973139_5,known_defense,JC-20S-2-N1_bin.61.purify_k141_973139,JC-20S-2-N1_bin.61.purify_k141_973139_2143-3102
7,SLHSD1-N1_bin.31.purify_k141_2111297_18,known_defense,SLHSD1-N1_bin.31.purify_k141_2111297,SLHSD1-N1_bin.31.purify_k141_2111297_19202-26259
7,YZYC-20S-6-N1_bin.83.purify_k141_847466_4,candidate,YZYC-20S-6-N1_bin.83.purify_k141_847466,YZYC-20S-6-N1_bin.83.purify_k141_847466_1503-2400
8,CC-20S-2-N1_bin.31.purify_k141_520289_1,known_defense,CC-20S-2-N1_bin.31.purify_k141_520289,CC-20S-2-N1_bin.31.purify_k141_520289_2-1435
8,CE-20S-3-N1_bin.74.purify_k141_1524240_1,candidate,CE-20S-3-N1_bin.74.purify_k141_1524240,CE-20S-3-N1_bin.74.purify_k141_1524240_1-420
8,NMC-S-8-N1_bin.185.purify_k141_582834_3,known_defense,NMC-S-8-N1_bin.185.purify_k141_582834,NMC-S-8-N1_bin.185.purify_k141_582834_904-11491
8,QHH7-N1_bin.254.purify_k141_2208595_5,known_defense,QHH7-N1_bin.254.purify_k141_2208595,QHH7-N1_bin.254.purify_k141_2208595_2185-3397
9,202104TB-W51-N1_bin.10.purify_k141_19426_90,known_defense,202104TB-W51-N1_bin.10.purify_k141_19426,202104TB-W51-N1_bin.10.purify_k141_19426_109192-119558
9,202106QH-W18-N1_bin.304.purify_k141_2344561_7,candidate,202106QH-W18-N1_bin.304.purify_k141_2344561,202106QH-W18-N1_bin.304.purify_k141_2344561_2402-2759
10,202104TB-W68-N1_bin.77.purify_k141_1830479_4,candidate,202104TB-W68-N1_bin.77.purify_k141_1830479,202104TB-W68-N1_bin.77.purify_k141_1830479_991-2186
10,202106QH-W18-N1_bin.418.purify_k141_3998932_9,known_defense,202106QH-W18-N1_bin.418.purify_k141_3998932,202106QH-W18-N1_bin.418.purify_k141_3998932_2092-4238
10,202106QH-W24-N1_bin.185.purify_k141_1798609_1,known_defense,202106QH-W24-N1_bin.185.purify_k141_1798609,202106QH-W24-N1_bin.185.purify_k141_1798609_1-1467
10,GMZ4-N1_bin.3.purify_k141_1010537_2,known_defense,GMZ4-N1_bin.3.purify_k141_1010537,GMZ4-N1_bin.3.purify_k141_1010537_2121-8773
10,TMRSD3-N1_bin.49.purify_k141_2680974_1,candidate,TMRSD3-N1_bin.49.purify_k141_2680974,TMRSD3-N1_bin.49.purify_k141_2680974_1-528
11,202106QH-W19-N1_bin.141.purify_k141_3570383_4,candidate,202106QH-W19-N1_bin.141.purify_k141_3570383,202106QH-W19-N1_bin.141.purify_k141_3570383_601-8221
11,CE-B-S-2-N1_bin.14.purify_k141_1361091_6,candidate,CE-B-S-2-N1_bin.14.purify_k141_1361091,CE-B-S-2-N1_bin.14.purify_k141_1361091_1629-2096
11,QHH10-N1_bin.188.purify_k141_1258918_1,known_defense,QHH10-N1_bin.188.purify_k141_1258918,QHH10-N1_bin.188.purify_k141_1258918_2-290
11,YM-S-43m-N3_bin.50.purify_k141_2162484_5,candidate,YM-S-43m-N3_bin.50.purify_k141_2162484,YM-S-43m-N3_bin.50.purify_k141_2162484_5033-5322
11,ZJ-S-05.4m-N1_bin.184.purify_k141_411827_3,known_defense,ZJ-S-05.4m-N1_bin.184.purify_k141_411827,ZJ-S-05.4m-N1_bin.184.purify_k141_411827_346-1849
12,202104TB-W41-N1_bin.32.purify_k141_1126383_1,candidate,202104TB-W41-N1_bin.32.purify_k141_1126383,202104TB-W41-N1_bin.32.purify_k141_1126383_1-429
12,QHH10-N1_bin.111.purify_k141_83591_1,candidate,QHH10-N1_bin.111.purify_k141_83591,QHH10-N1_bin.111.purify_k141_83591_3-8473
12,TLSD-N1_bin.50.purify_k141_3883488_7,candidate,TLSD-N1_bin.50.purify_k141_3883488,TLSD-N1_bin.50.purify_k141_3883488_3129-3608
13,202106QH-W38-N1_bin.101.purify_k141_1651911_6,known_defense,202106QH-W38-N1_bin.101.purify_k141_1651911,202106QH-W38-N1_bin.101.purify_k141_1651911_2200-3054
13,CESD-S-3-N1_bin.10.purify_k141_1191196_5,known_defense,CESD-S-3-N1_bin.10.purify_k141_1191196,CESD-S-3-N1_bin.10.purify_k141_1191196_301-5333
13,GMZ4-N1_bin.147.purify_k141_40332_4,candidate,GMZ4-N1_bin.147.purify_k141_40332,GMZ4-N1_bin.147.purify_k141_40332_778-10115
13,QHH10-N1_bin.111.purify_k141_1353416_5,candidate,QHH10-N1_bin.111.purify_k141_1353416,QHH10-N1_bin.111.purify_k141_1353416_2342-2643
14,202104TB-W51-N1_bin.49.purify_k141_102245_2,known_defense,202104TB-W51-N1_bin.49.purify_k141_102245,202104TB-W51-N1_bin.49.purify_k141_102245_548-8356
14,KMC-20S-1-N1_bin.129.purify_k141_1122117_4,known_defense,KMC-20S-1-N1_bin.129.purify_k141_1122117,KMC-20S-1-N1_bin.129.purify_k141_1122117_2132-3279
14,YZYC-20S-1-N1_bin.82.purify_k141_606674_1,known_defense,YZYC-20S-1-N1_bin.82.purify_k141_606674,YZYC-20S-1-N1_bin.82.purify_k141_606674_2-805
14,CE-N-S-N1_bin.124.purify_k141_286549_1,candidate,CE-N-S-N1_bin.124.purify_k141_286549,CE-N-S-N1_bin.124.purify_k141_286549_2-1572
15,BGBMC-20S-2-N1_bin.227.purify_k141_276472_3,candidate,BGBMC-20S-2-N1_bin.227.purify_k141_276472,BGBMC-20S-2-N1_bin.227.purify_k141_276472_1294-9597
15,BGBMC-20S-3-N1_bin.153.purify_k141_1183348_1,candidate,BGBMC-20S-3-N1_bin.153.purify_k141_1183348,BGBMC-20S-3-N1_bin.153.purify_k141_1183348_2-508
15,QHH6-N1_bin.215.purify_k141_939555_1,candidate,QHH6-N1_bin.215.purify_k141_939555,QHH6-N1_bin.215.purify_k141_939555_3-924
16,202009TB-N8_bin.130.purify_k141_988013_1,candidate,202009TB-N8_bin.130.purify_k141_988013,202009TB-N8_bin.130.purify_k141_988013_1-823
16,202104TB-W50-N1_bin.21.purify_k141_574225_4,candidate,202104TB-W50-N1_bin.21.purify_k141_574225,202104TB-W50-N1_bin.21.purify_k141_574225_2424-3296
16,202104TB-W66-N1_bin.46.purify_k141_2052361_1,candidate,202104TB-W66-N1_bin.46.purify_k141_2052361,202104TB-W66-N1_bin.46.purify_k141_2052361_3-5540
16,202106QH-W7-N1_bin.1.purify_k141_1317790_1,candidate,202106QH-W7-N1_bin.1.purify_k141_1317790,202106QH-W7-N1_bin.1.purify_k141_1317790_1-2757
16,GMZ4-N1_bin.44.purify_k141_14584_1,candidate,GMZ4-N1_bin.44.purify_k141_14584,GMZ4-N1_bin.44.purify_k141_14584_3-2021
16,QHH10-N1_bin.70.purify_k141_1837514_1,candidate,QHH10-N1_bin.70.purify_k141_1837514,QHH10-N1_bin.70.purify_k141_1837514_2-428
16,YBJSD-S-N1_bin.47.purify_k141_429799_1,known_defense,YBJSD-S-N1_bin.47.purify_k141_429799,YBJSD-S-N1_bin.47.purify_k141_429799_2-1907
16,ZJZBSD-s04-N1_bin.14.purify_k141_1142959_1,candidate,ZJZBSD-s04-N1_bin.14.purify_k141_1142959,ZJZBSD-s04-N1_bin.14.purify_k141_1142959_1-8028
17,202104TB-W34-N1_bin.136.purify_k141_1875451_8,candidate,202104TB-W34-N1_bin.136.purify_k141_1875451,202104TB-W34-N1_bin.136.purify_k141_1875451_5545-6135
17,202104TB-W41-N1_bin.78.purify_k141_541580_1,known_defense,202104TB-W41-N1_bin.78.purify_k141_541580,202104TB-W41-N1_bin.78.purify_k141_541580_1-1711
17,BBH1-N1_bin.23.purify_k141_1815050_1,candidate,BBH1-N1_bin.23.purify_k141_1815050,BBH1-N1_bin.23.purify_k141_1815050_1-341
17,QHH6-N1_bin.74.purify_k141_726084_2,candidate,QHH6-N1_bin.74.purify_k141_726084,QHH6-N1_bin.74.purify_k141_726084_372-6234
18,202106QH-W1-N1_bin.24.purify_k141_1995613_2,known_defense,202106QH-W1-N1_bin.24.purify_k141_1995613,202106QH-W1-N1_bin.24.purify_k141_1995613_282-6707
18,SLC-S-N1_bin.10.purify_k141_1040268_5,candidate,SLC-S-N1_bin.10.purify_k141_1040268,SLC-S-N1_bin.10.purify_k141_1040268_1724-2387
18,ZJZBSD-01-2-s1-N1_bin.45.purify_k141_1203624_8,candidate,ZJZBSD-01-2-s1-N1_bin.45.purify_k141_1203624,ZJZBSD-01-2-s1-N1_bin.45.purify_k141_1203624_4553-4962
19,QHH7-N1_bin.201.purify_k141_2017661_2,candidate,QHH7-N1_bin.201.purify_k141_2017661,QHH7-N1_bin.201.purify_k141_2017661_3-7275
19,YZYC-20S-4-N1_bin.71.purify_k141_1450755_2,known_defense,YZYC-20S-4-N1_bin.71.purify_k141_1450755,YZYC-20S-4-N1_bin.71.purify_k141_1450755_1-1193
