cluster_id,cluster_type,genome_id,file_name,gene_name,start_position,end_position,gene_type,system_size,candidate_count,multi_label,binary_confidence
202009TB-N10_bin.47.purify_k141_2085865_2-2557,HYBRID,202009TB-N10_bin.47.purify_k141_2085865,202009TB-N10_bin.47.purify.fasta,202009TB-N10_bin.47.purify_k141_2085865_1,2,1048,candidate,2,1,other,0.9999629259109496
202009TB-N10_bin.47.purify_k141_2085865_2-2557,HYBRID,202009TB-N10_bin.47.purify_k141_2085865,202009TB-N10_bin.47.purify.fasta,202009TB-N10_bin.47.purify_k141_2085865_2,1088,2557,known_defense,2,1,RM_Type_IIG__Type_IIG,0.9779309034347534
202009TB-N10_bin.36.purify_k141_1799999_2-1586,HYBRID,202009TB-N10_bin.36.purify_k141_1799999,202009TB-N10_bin.36.purify.fasta,202009TB-N10_bin.36.purify_k141_1799999_1,2,655,known_defense,2,1,Dpd__DpdK,0.9991756081581116
202009TB-N10_bin.36.purify_k141_1799999_2-1586,HYBRID,202009TB-N10_bin.36.purify_k141_1799999,202009TB-N10_bin.36.purify.fasta,202009TB-N10_bin.36.purify_k141_1799999_2,813,1586,candidate,2,1,other,0.9999648332595824
202009TB-N10_bin.15.purify_k141_2042685_187-1847,PURE_CANDIDATE,202009TB-N10_bin.15.purify_k141_2042685,202009TB-N10_bin.15.purify.fasta,202009TB-N10_bin.15.purify_k141_2042685_2,187,849,candidate,2,2,other,0.9938160181045532
202009TB-N10_bin.15.purify_k141_2042685_187-1847,PURE_CANDIDATE,202009TB-N10_bin.15.purify_k141_2042685,202009TB-N10_bin.15.purify.fasta,202009TB-N10_bin.15.purify_k141_2042685_3,963,1847,candidate,2,2,other,0.9999974966049194
202009TB-N11_bin.44.purify_k141_1987595_2693-4341,PURE_CANDIDATE,202009TB-N11_bin.44.purify_k141_1987595,202009TB-N11_bin.44.purify.fasta,202009TB-N11_bin.44.purify_k141_1987595_4,2693,3130,known_defense,2,1,other,0.9862530827522278
202009TB-N11_bin.44.purify_k141_1987595_2693-4341,PURE_CANDIDATE,202009TB-N11_bin.44.purify_k141_1987595,202009TB-N11_bin.44.purify.fasta,202009TB-N11_bin.44.purify_k141_1987595_5,3199,4341,candidate,2,1,other,0.999991536140442
202009TB-N12_bin.23.purify_k141_450292_1031-1735,PURE_CANDIDATE,202009TB-N12_bin.23.purify_k141_450292,202009TB-N12_bin.23.purify.fasta,202009TB-N12_bin.23.purify_k141_450292_4,1031,1687,candidate,2,1,other,0.999890923500061
202009TB-N12_bin.23.purify_k141_450292_1031-1735,PURE_CANDIDATE,202009TB-N12_bin.23.purify_k141_450292,202009TB-N12_bin.23.purify.fasta,202009TB-N12_bin.23.purify_k141_450292_5,1652,1735,known_defense,2,1,other,0.7772504687309265
