gene_name,multi_label,binary_label,binary_confidence,file_name,batch_idx
NZ_CP009512.1_283,other,defense,0.9982278,RS_GCF_000970205.1_protein_labels.pkl,8
NZ_CP009512.1_469,other,defense,0.9967417,RS_GCF_000970205.1_protein_labels.pkl,14
NZ_CP009512.1_1152,other,defense,0.9941214,RS_GCF_000970205.1_protein_labels.pkl,35
NZ_CP009512.1_1894,other,defense,0.990211,RS_GCF_000970205.1_protein_labels.pkl,59
NZ_CP009512.1_2014,other,defense,0.996415,RS_GCF_000970205.1_protein_labels.pkl,62
NZ_CP009512.1_2853,other,defense,0.99648166,RS_GCF_000970205.1_protein_labels.pkl,89
NZ_CP009512.1_2944,other,defense,0.992535,RS_GCF_000970205.1_protein_labels.pkl,91
NZ_CP009512.1_3151,other,defense,0.997424,RS_GCF_000970205.1_protein_labels.pkl,98
JAHCGZ010000001.1_163,other,defense,0.9922505,GB_GCA_022117465.1_protein_labels.pkl,5
JAHCGZ010000001.1_291,other,defense,0.9984635,GB_GCA_022117465.1_protein_labels.pkl,9
JAHCGZ010000003.1_26,other,defense,0.9979007,GB_GCA_022117465.1_protein_labels.pkl,24
JAHCGZ010000005.1_3,other,defense,0.99107224,GB_GCA_022117465.1_protein_labels.pkl,36
NZ_LT671858.1_112,other,defense,0.992886,RS_GCF_900083515.1_protein_labels.pkl,3
NZ_LT671858.1_331,other,defense,0.9998839,RS_GCF_900083515.1_protein_labels.pkl,10
NC_007181.1_578,other,defense,0.99340653,RS_GCF_000012285.1_protein_labels.pkl,18
NC_007181.1_645,other,defense,0.9960861,RS_GCF_000012285.1_protein_labels.pkl,20
NC_007181.1_1785,other,defense,0.9918956,RS_GCF_000012285.1_protein_labels.pkl,55
NC_007181.1_1857,other,defense,0.99145633,RS_GCF_000012285.1_protein_labels.pkl,58
NC_007181.1_2140,other,defense,0.9946497,RS_GCF_000012285.1_protein_labels.pkl,66
NZ_NEDJ01000018.1_6,other,defense,0.9966311,RS_GCF_002114285.1_protein_labels.pkl,22
NZ_NEDJ01000002.1_106,other,defense,0.99424464,RS_GCF_002114285.1_protein_labels.pkl,47
NZ_NEDJ01000036.1_16,other,defense,0.99741924,RS_GCF_002114285.1_protein_labels.pkl,55
NZ_NEDJ01000038.1_4,other,defense,0.9974693,RS_GCF_002114285.1_protein_labels.pkl,57
NZ_NEDJ01000004.1_81,other,defense,0.9947753,RS_GCF_002114285.1_protein_labels.pkl,74
NZ_NEDJ01000077.1_15,other,defense,0.9959895,RS_GCF_002114285.1_protein_labels.pkl,97
NZ_NEDJ01000008.1_58,other,defense,0.9984719,RS_GCF_002114285.1_protein_labels.pkl,106
JAKAWY010000006.1_37,other,defense,0.99062926,GB_GCA_021816745.1_protein_labels.pkl,8
JAKAWY010000018.1_15,other,defense,0.999795,GB_GCA_021816745.1_protein_labels.pkl,23
JAKAWY010000087.1_3,other,defense,0.9942162,GB_GCA_021816745.1_protein_labels.pkl,26
JAKAWY010000032.1_8,other,defense,0.9903543,GB_GCA_021816745.1_protein_labels.pkl,35
JAKAYL010000003.1_7,other,defense,0.99386734,GB_GCA_021809545.1_protein_labels.pkl,5
JAKAYL010000010.1_31,other,defense,0.9989027,GB_GCA_021809545.1_protein_labels.pkl,34
JAKAYL010000018.1_12,other,defense,0.9954301,GB_GCA_021809545.1_protein_labels.pkl,49
JAHLFR010000024.1_16,other,defense,0.99166954,GB_GCA_018883755.1_protein_labels.pkl,11
JAHLFR010000003.1_44,other,defense,0.9921617,GB_GCA_018883755.1_protein_labels.pkl,18
CP133595.1_684,other,defense,0.99913955,GB_GCA_031200235.1_protein_labels.pkl,21
CP133595.1_970,other,defense,0.9971439,GB_GCA_031200235.1_protein_labels.pkl,30
CP133595.1_1432,other,defense,0.9942859,GB_GCA_031200235.1_protein_labels.pkl,44
CP133595.1_1840,other,defense,0.9979582,GB_GCA_031200235.1_protein_labels.pkl,57
DAUV01000050.1_3,other,defense,0.99603903,GB_GCA_002505325.1_protein_labels.pkl,11
DAUV01000099.1_4,other,defense,0.99533445,GB_GCA_002505325.1_protein_labels.pkl,18
DAUV01000090.1_3,other,defense,0.9961343,GB_GCA_002505325.1_protein_labels.pkl,21
DAUV01000060.1_5,other,defense,0.99767035,GB_GCA_002505325.1_protein_labels.pkl,23
JAJZIG010000087.1_10,other,defense,0.992767,GB_GCA_021851265.1_protein_labels.pkl,16
JAJZIG010000095.1_4,other,defense,0.9993148,GB_GCA_021851265.1_protein_labels.pkl,21
