homology_cluster_id,gene_name,gene_type,genome_id,physical_cluster_id
1,2020_BMC-W-1-1_bin.177.purify_k141_61758_3,known_defense,2020_BMC-W-1-1_bin.177.purify_k141_61758,2020_BMC-W-1-1_bin.177.purify_k141_61758_728-1794
1,2020_CE-X-W-1_bin.116.purify_k141_1398570_26,known_defense,2020_CE-X-W-1_bin.116.purify_k141_1398570,2020_CE-X-W-1_bin.116.purify_k141_1398570_32328-46160
1,2021-GH-W1_bin.62.purify_k141_2660373_1,known_defense,2021-GH-W1_bin.62.purify_k141_2660373,2021-GH-W1_bin.62.purify_k141_2660373_3-622
2,2019_TBLSH-01_bin.32.purify_k141_637025_7,candidate,2019_TBLSH-01_bin.32.purify_k141_637025,2019_TBLSH-01_bin.32.purify_k141_637025_5206-5854
2,2019_TBMTW-5_bin.10.purify_k141_137312_1,candidate,2019_TBMTW-5_bin.10.purify_k141_137312,2019_TBMTW-5_bin.10.purify_k141_137312_2-697
2,2020_CBL-w4_bin.52.purify_k141_2190054_1,candidate,2020_CBL-w4_bin.52.purify_k141_2190054,2020_CBL-w4_bin.52.purify_k141_2190054_2-2654
2,2020_CE-N-W-1_bin.69.purify_k141_355476_9,candidate,2020_CE-N-W-1_bin.69.purify_k141_355476,2020_CE-N-W-1_bin.69.purify_k141_355476_7975-15802
2,2020_JNYC-20W-1-100m-1_bin.19.purify_k141_93282_4,candidate,2020_JNYC-20W-1-100m-1_bin.19.purify_k141_93282,2020_JNYC-20W-1-100m-1_bin.19.purify_k141_93282_864-1200
2,2021-LU-W8_bin.59.purify_k127_5471874_3,candidate,2021-LU-W8_bin.59.purify_k127_5471874,2021-LU-W8_bin.59.purify_k127_5471874_203-1666
3,2020_DQZB-w3_bin.141.purify_k141_1258948_8,candidate,2020_DQZB-w3_bin.141.purify_k141_1258948,2020_DQZB-w3_bin.141.purify_k141_1258948_3070-3564
3,2020_JC-20W-1-23m-1_bin.320.purify_k141_571428_10,known_defense,2020_JC-20W-1-23m-1_bin.320.purify_k141_571428,2020_JC-20W-1-23m-1_bin.320.purify_k141_571428_10712-11863
3,2020_QHH11-W1_bin.89.purify_k141_1447248_4,known_defense,2020_QHH11-W1_bin.89.purify_k141_1447248,2020_QHH11-W1_bin.89.purify_k141_1447248_2825-12895
3,2021-BQZBHK-W1_bin.23.purify_k127_638825_2,candidate,2021-BQZBHK-W1_bin.23.purify_k127_638825,2021-BQZBHK-W1_bin.23.purify_k127_638825_51-487
3,2021-BQZBHK-W2_bin.21.purify_k127_1362084_4,known_defense,2021-BQZBHK-W2_bin.21.purify_k127_1362084,2021-BQZBHK-W2_bin.21.purify_k127_1362084_1234-1768
3,2021-ZJZB-W23_bin.116.purify_k127_1552084_4,known_defense,2021-ZJZB-W23_bin.116.purify_k127_1552084,2021-ZJZB-W23_bin.116.purify_k127_1552084_1332-2326
4,2020_GMZ13-W1_bin.181.purify_k141_1281564_1,known_defense,2020_GMZ13-W1_bin.181.purify_k141_1281564,2020_GMZ13-W1_bin.181.purify_k141_1281564_3-7543
4,2020_GMZ15-W1_bin.40.purify_k141_2043690_1,known_defense,2020_GMZ15-W1_bin.40.purify_k141_2043690,2020_GMZ15-W1_bin.40.purify_k141_2043690_2-7299
4,2020_JC-20W-1-15m-1_bin.87.purify_k141_227396_1,known_defense,2020_JC-20W-1-15m-1_bin.87.purify_k141_227396,2020_JC-20W-1-15m-1_bin.87.purify_k141_227396_3-7810
4,2020_QHH12-W1_bin.7.purify_k141_427893_1,known_defense,2020_QHH12-W1_bin.7.purify_k141_427893,2020_QHH12-W1_bin.7.purify_k141_427893_1-7385
4,2021-KMC-LBM1_bin.43.purify_k141_192639_4,known_defense,2021-KMC-LBM1_bin.43.purify_k141_192639,2021-KMC-LBM1_bin.43.purify_k141_192639_906-1792
4,2021-QHH-W11_bin.78.purify_k141_781584_1,candidate,2021-QHH-W11_bin.78.purify_k141_781584,2021-QHH-W11_bin.78.purify_k141_781584_2-2964
4,2021-QHH-W1_bin.71.purify_k141_535833_1,known_defense,2021-QHH-W1_bin.71.purify_k141_535833,2021-QHH-W1_bin.71.purify_k141_535833_3-7543
4,2021-QHH-W5_bin.88.purify_k141_467917_1,known_defense,2021-QHH-W5_bin.88.purify_k141_467917,2021-QHH-W5_bin.88.purify_k141_467917_3-7810
5,2020_CE-N-W-1_bin.144.purify_k141_924600_15,candidate,2020_CE-N-W-1_bin.144.purify_k141_924600,2020_CE-N-W-1_bin.144.purify_k141_924600_11739-19237
5,2020_CE-N-W-2_bin.108.purify_k141_211330_15,candidate,2020_CE-N-W-2_bin.108.purify_k141_211330,2020_CE-N-W-2_bin.108.purify_k141_211330_11739-19237
5,2020_GMZ14-W1_bin.72.purify_k141_3096935_1,candidate,2020_GMZ14-W1_bin.72.purify_k141_3096935,2020_GMZ14-W1_bin.72.purify_k141_3096935_3-673
5,2021-ND-W6_bin.48.purify_k141_775010_8,candidate,2021-ND-W6_bin.48.purify_k141_775010,2021-ND-W6_bin.48.purify_k141_775010_3784-4178
6,2020_KMC-20W-1-0m-1_bin.39.purify_k141_485426_186,candidate,2020_KMC-20W-1-0m-1_bin.39.purify_k141_485426,2020_KMC-20W-1-0m-1_bin.39.purify_k141_485426_193328-201327
6,2020_NMC-W-8-0m-1_bin.118.purify_k141_370656_8,candidate,2020_NMC-W-8-0m-1_bin.118.purify_k141_370656,2020_NMC-W-8-0m-1_bin.118.purify_k141_370656_6805-7366
6,2021-HHSD-W2_bin.50.purify_k127_4461967_1,known_defense,2021-HHSD-W2_bin.50.purify_k127_4461967,2021-HHSD-W2_bin.50.purify_k127_4461967_1-948
6,2021-TLHSD-W1_bin.41.purify_k127_1999471_1,known_defense,2021-TLHSD-W1_bin.41.purify_k127_1999471,2021-TLHSD-W1_bin.41.purify_k127_1999471_1-1083
7,2019_TBLU-08_bin.2.purify_k141_361845_6,candidate,2019_TBLU-08_bin.2.purify_k141_361845,2019_TBLU-08_bin.2.purify_k141_361845_6072-7377
7,2020_CC-20W-1-5m-1_bin.196.purify_k141_177167_14,known_defense,2020_CC-20W-1-5m-1_bin.196.purify_k141_177167,2020_CC-20W-1-5m-1_bin.196.purify_k141_177167_14391-28035
7,2020_DQZB-w5_bin.58.purify_k141_1005534_4,candidate,2020_DQZB-w5_bin.58.purify_k141_1005534,2020_DQZB-w5_bin.58.purify_k141_1005534_2812-3325
7,2020_KMC-20W-1-10m-1_bin.60.purify_k141_43151_36,known_defense,2020_KMC-20W-1-10m-1_bin.60.purify_k141_43151,2020_KMC-20W-1-10m-1_bin.60.purify_k141_43151_47684-70989
7,2020_LU-w5_bin.227.purify_k141_1265281_6,candidate,2020_LU-w5_bin.227.purify_k141_1265281,2020_LU-w5_bin.227.purify_k141_1265281_5915-7220
7,2020_SLC-w-7_bin.191.purify_k141_520182_1,candidate,2020_SLC-w-7_bin.191.purify_k141_520182,2020_SLC-w-7_bin.191.purify_k141_520182_3-1052
7,2021-BQZBSD-W22_bin.185.purify_k127_2873850_10,candidate,2021-BQZBSD-W22_bin.185.purify_k127_2873850,2021-BQZBSD-W22_bin.185.purify_k127_2873850_5735-6308
7,2021-CE-W2_bin.123.purify_k127_1815523_1,candidate,2021-CE-W2_bin.123.purify_k127_1815523,2021-CE-W2_bin.123.purify_k127_1815523_3-1342
7,HS-26-1_bin.13.purify_k141_132168_8,candidate,HS-26-1_bin.13.purify_k141_132168,HS-26-1_bin.13.purify_k141_132168_4368-5790
8,2020_SLC-w-6_bin.69.purify_k141_1181569_8,known_defense,2020_SLC-w-6_bin.69.purify_k141_1181569,2020_SLC-w-6_bin.69.purify_k141_1181569_4044-18024
9,2020_CE-D-W-1_bin.10.purify_k141_148397_6,known_defense,2020_CE-D-W-1_bin.10.purify_k141_148397,2020_CE-D-W-1_bin.10.purify_k141_148397_1844-2751
9,2020_CE-D-W-2_bin.64.purify_k141_962259_6,known_defense,2020_CE-D-W-2_bin.64.purify_k141_962259,2020_CE-D-W-2_bin.64.purify_k141_962259_1844-2751
9,2020_CRC-20W-1-14m-1_bin.30.purify_k141_3656501_1,candidate,2020_CRC-20W-1-14m-1_bin.30.purify_k141_3656501,2020_CRC-20W-1-14m-1_bin.30.purify_k141_3656501_1-948
9,2020_KMC-20W-1-15m-1_bin.49.purify_k141_761597_16,known_defense,2020_KMC-20W-1-15m-1_bin.49.purify_k141_761597,2020_KMC-20W-1-15m-1_bin.49.purify_k141_761597_8379-17645
9,2020_KMC-20W-1-20m-1_bin.151.purify_k141_527284_66,known_defense,2020_KMC-20W-1-20m-1_bin.151.purify_k141_527284,2020_KMC-20W-1-20m-1_bin.151.purify_k141_527284_69791-79724
9,2021-QHH-W8_bin.96.purify_k141_220673_24,candidate,2021-QHH-W8_bin.96.purify_k141_220673,2021-QHH-W8_bin.96.purify_k141_220673_18393-20585
10,2020_BGBMC-20W-2-1_bin.52.purify_k141_1580113_5,candidate,2020_BGBMC-20W-2-1_bin.52.purify_k141_1580113,2020_BGBMC-20W-2-1_bin.52.purify_k141_1580113_2950-3236
